Date,Sales,GrowthRate
30-06-2014,547,-0.04789272
30-09-2014,530,0.031078611
31-12-2014,557,-0.050943396
31-03-2015,529,0.0502693
30-06-2015,555,-0.049149338
30-09-2015,545,0.018018018
31-12-2015,592,-0.086238532
31-03-2016,564,0.047297297
30-06-2016,557,0.012411348
30-09-2016,541,0.028725314
31-12-2016,573,-0.059149723
31-03-2017,513,0.104712042
30-06-2017,533,-0.038986355
30-09-2017,495,0.071294559
31-12-2017,512,-0.034343434
31-03-2018,463,0.095703125
30-06-2018,498,-0.075593952
30-09-2018,473,0.050200803
31-12-2018,496,-0.048625793
31-03-2019,465,0.0625
30-06-2019,490,-0.053763441
30-09-2019,472,0.036734694
31-12-2019,488,-0.033898305
31-03-2020,423,0.133196721
30-06-2020,270,0.361702128
30-09-2020,449,-0.662962963
31-12-2020,453,-0.008908686
31-03-2021,403,0.110375276
30-06-2021,433,-0.074441687
30-09-2021,400,0.076212471
31-12-2021,401,-0.0025
31-03-2022,387,0.034912718
30-06-2022,418,-0.080103359
30-09-2022,406,0.028708134
31-12-2022,434,-0.068965517
31-03-2023,406,0.064516129
30-06-2023,433,-0.066502463
30-09-2023,415,0.041570439
31-12-2023,430,-0.036144578
31-03-2024,432,-0.004651163
30-06-2024,429,0.006944444
30-09-2024,400,0.067599068
31-12-2024,435,-0.0875
31-03-2025,388,0.108045977
30-06-2025,422,-0.087628866
30-09-2025,406,0.037914692
31-12-2025,442,-0.088669951
