Date,Sales,GrowthRate
30-06-2014,350,0.038461538
30-09-2014,352,0.042780749
31-12-2014,352,-0.083798883
31-03-2015,364,0.020618557
30-06-2015,351,-0.015789474
30-09-2015,368,0.041450777
31-12-2015,379,-0.151351351
31-03-2016,381,0.046948357
30-06-2016,381,0.02955665
30-09-2016,389,0.035532995
31-12-2016,394,-0.094736842
31-03-2017,391,-0.004807692
30-06-2017,390,0.004784689
30-09-2017,398,0.0625
31-12-2017,397,-0.102564103
31-03-2018,407,0.027906977
30-06-2018,394,-0.009569378
30-09-2018,395,0.047393365
31-12-2018,403,-0.094527363
31-03-2019,417,0.031818182
30-06-2019,407,-0.014084507
30-09-2019,415,0.055555556
31-12-2019,413,-0.12745098
31-03-2020,407,0.104347826
30-06-2020,354,0.334951456
30-09-2020,433,-0.613138686
31-12-2020,454,-0.036199095
31-03-2021,450,0.082969432
30-06-2021,447,-0.114285714
30-09-2021,455,0.102564103
31-12-2021,467,-0.09047619
31-03-2022,475,0.017467249
30-06-2022,464,-0.066666667
30-09-2022,473,0.05
31-12-2022,470,-0.096491228
31-03-2023,491,0.036
30-06-2023,483,-0.037344398
30-09-2023,488,0.044
31-12-2023,487,-0.112970711
31-03-2024,504,-0.015037594
30-06-2024,498,0.018518519
30-09-2024,497,0.056603774
31-12-2024,514,-0.088
31-03-2025,502,0.033088235
30-06-2025,501,-0.030418251
30-09-2025,512,0.033210332
31-12-2025,543,-0.083969466
