Date,Sales,GrowthRate
30-06-2014,333,-0.053797468
30-09-2014,341,-0.024024024
31-12-2014,352,-0.032258065
31-03-2015,329,0.065340909
30-06-2015,360,-0.094224924
30-09-2015,357,0.008333333
31-12-2015,384,-0.075630252
31-03-2016,352,0.083333333
30-06-2016,389,-0.105113636
30-09-2016,390,-0.002570694
31-12-2016,393,-0.007692308
31-03-2017,392,0.002544529
30-06-2017,400,-0.020408163
30-09-2017,398,0.005
31-12-2017,430,-0.08040201
31-03-2018,393,0.086046512
30-06-2018,402,-0.022900763
30-09-2018,421,-0.047263682
31-12-2018,441,-0.047505938
31-03-2019,404,0.083900227
30-06-2019,396,0.01980198
30-09-2019,409,-0.032828283
31-12-2019,428,-0.046454768
31-03-2020,381,0.109813084
30-06-2020,277,0.272965879
30-09-2020,421,-0.519855596
31-12-2020,456,-0.083135392
31-03-2021,405,0.111842105
30-06-2021,459,-0.133333333
30-09-2021,440,0.041394336
31-12-2021,457,-0.038636364
31-03-2022,417,0.087527352
30-06-2022,454,-0.088729017
30-09-2022,457,-0.00660793
31-12-2022,456,0.002188184
31-03-2023,444,0.026315789
30-06-2023,466,-0.04954955
30-09-2023,455,0.02360515
31-12-2023,468,-0.028571429
31-03-2024,446,0.047008547
30-06-2024,466,-0.044843049
30-09-2024,448,0.038626609
31-12-2024,478,-0.066964286
31-03-2025,457,0.043933054
30-06-2025,477,-0.043763676
30-09-2025,477,0
31-12-2025,489,-0.025157233
