Date,Sales,GrowthRate
30-06-2014,423,0.007042254
30-09-2014,436,-0.030732861
31-12-2014,432,0.009174312
31-03-2015,422,0.023148148
30-06-2015,423,-0.002369668
30-09-2015,427,-0.009456265
31-12-2015,430,-0.007025761
31-03-2016,419,0.025581395
30-06-2016,421,-0.00477327
30-09-2016,414,0.016627078
31-12-2016,415,-0.002415459
31-03-2017,423,-0.019277108
30-06-2017,423,0
30-09-2017,430,-0.016548463
31-12-2017,452,-0.051162791
31-03-2018,423,0.064159292
30-06-2018,436,-0.030732861
30-09-2018,423,0.029816514
31-12-2018,469,-0.108747045
31-03-2019,425,0.093816631
30-06-2019,530,-0.247058824
30-09-2019,443,0.164150943
31-12-2019,451,-0.018058691
31-03-2020,463,-0.026607539
30-06-2020,213,0.539956803
30-09-2020,492,-1.309859155
31-12-2020,546,-0.109756098
31-03-2021,493,0.097069597
30-06-2021,576,-0.168356998
30-09-2021,508,0.118055556
31-12-2021,528,-0.039370079
31-03-2022,504,0.045454545
30-06-2022,538,-0.067460317
30-09-2022,527,0.020446097
31-12-2022,544,-0.032258065
31-03-2023,531,0.023897059
30-06-2023,548,-0.032015066
30-09-2023,539,0.016423358
31-12-2023,580,-0.07606679
31-03-2024,542,0.065517241
30-06-2024,529,0.02398524
30-09-2024,535,-0.011342155
31-12-2024,558,-0.042990654
31-03-2025,545,0.023297491
30-06-2025,566,-0.03853211
30-09-2025,555,0.019434629
31-12-2025,592,-0.066666667
