Date,Sales,GrowthRate
30-06-2014,262,0.083916084
30-09-2014,232,0.114503817
31-12-2014,195,0.159482759
31-03-2015,253,-0.297435897
30-06-2015,243,0.039525692
30-09-2015,262,-0.0781893
31-12-2015,239,0.08778626
31-03-2016,242,-0.012552301
30-06-2016,248,-0.024793388
30-09-2016,277,-0.116935484
31-12-2016,265,0.0433213
31-03-2017,256,0.033962264
30-06-2017,274,-0.0703125
30-09-2017,302,-0.102189781
31-12-2017,290,0.039735099
31-03-2018,309,-0.065517241
30-06-2018,320,-0.035598706
30-09-2018,319,0.003125
31-12-2018,289,0.094043887
31-03-2019,321,-0.110726644
30-06-2019,333,-0.037383178
30-09-2019,339,-0.018018018
31-12-2019,311,0.08259587
31-03-2020,346,-0.112540193
30-06-2020,203,0.413294798
30-09-2020,375,-0.84729064
31-12-2020,289,0.229333333
31-03-2021,371,-0.283737024
30-06-2021,352,0.051212938
30-09-2021,359,-0.019886364
31-12-2021,316,0.119777159
31-03-2022,400,-0.265822785
30-06-2022,374,0.065
30-09-2022,405,-0.082887701
31-12-2022,343,0.15308642
31-03-2023,444,-0.294460641
30-06-2023,409,0.078828829
30-09-2023,399,0.024449878
31-12-2023,374,0.062656642
31-03-2024,438,-0.171122995
30-06-2024,409,0.066210046
30-09-2024,441,-0.078239609
31-12-2024,396,0.102040816
31-03-2025,452,-0.141414141
30-06-2025,428,0.053097345
30-09-2025,456,-0.065420561
31-12-2025,417,0.085526316
