Date,Sales,GrowthRate
30-06-2017,131,-1.673469388
30-09-2017,130,0.007633588
31-12-2017,143,-0.1
31-03-2018,131,0.083916084
30-06-2018,139,-0.061068702
30-09-2018,133,0.043165468
31-12-2018,137,-0.030075188
31-03-2019,125,0.087591241
30-06-2019,128,-0.024
30-09-2019,120,0.0625
31-12-2019,117,0.025
31-03-2020,93,0.205128205
30-06-2020,45,0.516129032
30-09-2020,98,-1.177777778
31-12-2020,108,-0.102040816
31-03-2021,101,0.064814815
30-06-2021,115,-0.138613861
30-09-2021,117,-0.017391304
31-12-2021,126,-0.076923077
31-03-2022,121,0.03968254
30-06-2022,122,-0.008264463
30-09-2022,112,0.081967213
31-12-2022,113,-0.008928571
31-03-2023,114,-0.008849558
30-06-2023,120,-0.052631579
30-09-2023,113,0.058333333
31-12-2023,114,-0.008849558
31-03-2024,109,0.043859649
30-06-2024,113,-0.036697248
30-09-2024,108,0.044247788
31-12-2024,114,-0.055555556
31-03-2025,115,-0.00877193
30-06-2025,128,-0.113043478
30-09-2025,116,0.09375
31-12-2025,114,0.017241379
