Date,Sales,GrowthRate
30-06-2013,529,-0.031189084
29-09-2013,501,0.052930057
29-12-2013,534,-0.065868263
30-03-2014,541,-0.013108614
30-06-2014,567,-0.04805915
30-09-2014,542,0.044091711
31-12-2014,558,-0.029520295
31-03-2015,529,0.051971326
30-06-2015,544,-0.028355388
30-09-2015,524,0.036764706
31-12-2015,439,0.16221374
31-03-2016,443,-0.009111617
30-06-2016,470,-0.060948081
30-09-2016,451,0.040425532
31-12-2016,485,-0.075388027
31-03-2017,549,-0.131958763
30-06-2017,573,-0.043715847
30-09-2017,553,0.034904014
31-12-2017,621,-0.122965642
31-03-2018,640,-0.030595813
30-06-2018,667,-0.0421875
30-09-2018,653,0.020989505
31-12-2018,686,-0.050535988
31-03-2019,732,-0.067055394
30-06-2019,751,-0.025956284
30-09-2019,741,0.013315579
31-12-2019,775,-0.045883941
31-03-2020,727,0.061935484
30-06-2020,590,0.188445667
30-09-2020,836,-0.416949153
31-12-2020,893,-0.068181818
31-03-2021,949,-0.062709966
30-06-2021,1046,-0.102212856
30-09-2021,957,0.085086042
31-12-2021,1019,-0.064785789
31-03-2022,1092,-0.071638862
30-06-2022,1049,0.039377289
30-09-2022,1060,-0.010486177
31-12-2022,1098,-0.035849057
31-03-2023,1503,-0.368852459
30-06-2023,1620,-0.077844311
30-09-2023,1558,0.038271605
31-12-2023,1669,-0.071245186
31-03-2024,1806,-0.082085081
30-06-2024,1873,-0.03709856
30-09-2024,1966,-0.049652963
31-12-2024,2062,-0.048830112
31-03-2025,2103,-0.019883608
30-06-2025,2313,-0.099857347
30-09-2025,2213,0.043233895
31-12-2025,2299,-0.038861274
