Date,Sales,GrowthRate
30-06-2014,352,-0.029239766
30-09-2014,324,0.079545455
31-12-2014,350,-0.080246914
31-03-2015,333,0.048571429
30-06-2015,336,-0.009009009
30-09-2015,309,0.080357143
31-12-2015,354,-0.145631068
31-03-2016,342,0.033898305
30-06-2016,349,-0.020467836
30-09-2016,320,0.083094556
31-12-2016,350,-0.09375
31-03-2017,352,-0.005714286
30-06-2017,350,0.005681818
30-09-2017,328,0.062857143
31-12-2017,364,-0.109756098
31-03-2018,363,0.002747253
30-06-2018,360,0.008264463
30-09-2018,330,0.083333333
31-12-2018,365,-0.106060606
31-03-2019,361,0.010958904
30-06-2019,364,-0.008310249
30-09-2019,336,0.076923077
31-12-2019,377,-0.12202381
31-03-2020,337,0.106100796
30-06-2020,226,0.329376855
30-09-2020,345,-0.526548673
31-12-2020,372,-0.07826087
31-03-2021,357,0.040322581
30-06-2021,392,-0.098039216
30-09-2021,356,0.091836735
31-12-2021,380,-0.06741573
31-03-2022,389,-0.023684211
30-06-2022,388,0.002570694
30-09-2022,228,0.412371134
31-12-2022,385,-0.688596491
31-03-2023,390,-0.012987013
30-06-2023,397,-0.017948718
30-09-2023,375,0.055415617
31-12-2023,398,-0.061333333
31-03-2024,422,-0.060301508
30-06-2024,417,0.011848341
30-09-2024,381,0.086330935
31-12-2024,418,-0.097112861
31-03-2025,409,0.0215311
30-06-2025,421,-0.029339853
30-09-2025,405,0.038004751
31-12-2025,439,-0.083950617
