Date,Sales,GrowthRate
30-06-2014,379,0.033163265
30-09-2014,361,0.047493404
31-12-2014,401,-0.110803324
31-03-2015,376,0.06234414
30-06-2015,372,0.010638298
30-09-2015,343,0.077956989
31-12-2015,405,-0.180758017
31-03-2016,389,0.039506173
30-06-2016,385,0.010282776
30-09-2016,355,0.077922078
31-12-2016,395,-0.112676056
31-03-2017,398,-0.007594937
30-06-2017,385,0.032663317
30-09-2017,343,0.109090909
31-12-2017,397,-0.157434402
31-03-2018,387,0.025188917
30-06-2018,382,0.012919897
30-09-2018,341,0.107329843
31-12-2018,392,-0.149560117
31-03-2019,369,0.058673469
30-06-2019,372,-0.008130081
30-09-2019,344,0.075268817
31-12-2019,395,-0.148255814
31-03-2020,343,0.13164557
30-06-2020,174,0.49271137
30-09-2020,308,-0.770114943
31-12-2020,345,-0.12012987
31-03-2021,317,0.08115942
30-06-2021,350,-0.104100946
30-09-2021,316,0.097142857
31-12-2021,342,-0.082278481
31-03-2022,339,0.00877193
30-06-2022,349,-0.029498525
30-09-2022,203,0.418338109
31-12-2022,354,-0.743842365
31-03-2023,368,-0.039548023
30-06-2023,363,0.013586957
30-09-2023,338,0.068870523
31-12-2023,387,-0.144970414
31-03-2024,401,-0.036175711
30-06-2024,394,0.017456359
30-09-2024,352,0.106598985
31-12-2024,398,-0.130681818
31-03-2025,389,0.022613065
30-06-2025,389,0
30-09-2025,377,0.030848329
31-12-2025,432,-0.145888594
