Date,Sales,GrowthRate
30-06-2014,1065,-0.053412463
30-09-2014,1007,0.054460094
31-12-2014,1051,-0.043694141
31-03-2015,963,0.083729781
30-06-2015,1001,-0.039460021
30-09-2015,922,0.078921079
31-12-2015,1020,-0.106290672
31-03-2016,968,0.050980392
30-06-2016,985,-0.017561983
30-09-2016,939,0.046700508
31-12-2016,988,-0.052183174
31-03-2017,883,0.106275304
30-06-2017,915,-0.036240091
30-09-2017,871,0.048087432
31-12-2017,856,0.017221584
31-03-2018,804,0.060747664
30-06-2018,845,-0.050995025
30-09-2018,786,0.069822485
31-12-2018,831,-0.057251908
31-03-2019,788,0.051744886
30-06-2019,818,-0.038071066
30-09-2019,778,0.048899756
31-12-2019,817,-0.050128535
31-03-2020,703,0.139534884
30-06-2020,499,0.290184922
30-09-2020,745,-0.492985972
31-12-2020,752,-0.009395973
31-03-2021,706,0.061170213
30-06-2021,776,-0.099150142
30-09-2021,705,0.091494845
31-12-2021,706,-0.00141844
31-03-2022,712,-0.008498584
30-06-2022,724,-0.016853933
30-09-2022,708,0.022099448
31-12-2022,699,0.012711864
31-03-2023,729,-0.042918455
30-06-2023,766,-0.050754458
30-09-2023,710,0.07310705
31-12-2023,742,-0.045070423
31-03-2024,752,-0.013477089
30-06-2024,743,0.011968085
30-09-2024,696,0.063257066
31-12-2024,735,-0.056034483
31-03-2025,671,0.08707483
30-06-2025,726,-0.081967213
30-09-2025,698,0.038567493
31-12-2025,756,-0.083094556
