Date,Sales,GrowthRate
30-06-2014,673,0.00443787
30-09-2014,652,0.031203566
31-12-2014,639,0.01993865
31-03-2015,656,-0.026604069
30-06-2015,621,0.053353659
30-09-2015,607,0.022544283
31-12-2015,644,-0.060955519
31-03-2016,642,0.00310559
30-06-2016,636,0.009345794
30-09-2016,637,-0.001572327
31-12-2016,654,-0.026687598
31-03-2017,642,0.018348624
30-06-2017,643,-0.001557632
30-09-2017,662,-0.029548989
31-12-2017,669,-0.010574018
31-03-2018,696,-0.040358744
30-06-2018,675,0.030172414
30-09-2018,654,0.031111111
31-12-2018,674,-0.03058104
31-03-2019,685,-0.016320475
30-06-2019,672,0.018978102
30-09-2019,677,-0.007440476
31-12-2019,686,-0.013293944
31-03-2020,654,0.04664723
30-06-2020,553,0.154434251
30-09-2020,685,-0.238698011
31-12-2020,722,-0.054014599
31-03-2021,733,-0.015235457
30-06-2021,710,0.031377899
30-09-2021,715,-0.007042254
31-12-2021,728,-0.018181818
31-03-2022,748,-0.027472527
30-06-2022,696,0.069518717
30-09-2022,473,0.320402299
31-12-2022,710,-0.501057082
31-03-2023,757,-0.066197183
30-06-2023,739,0.023778071
30-09-2023,742,-0.00405954
31-12-2023,741,0.001347709
31-03-2024,765,-0.032388664
30-06-2024,759,0.007843137
30-09-2024,761,-0.002635046
31-12-2024,764,-0.003942181
31-03-2025,772,-0.010471204
30-06-2025,267,0.654145078
30-09-2025,793,-1.970037453
31-12-2025,813,-0.025220681
