Date,Sales,GrowthRate
30-06-2014,824,-0.074315515
30-09-2014,797,0.03276699
31-12-2014,849,-0.065244668
31-03-2015,770,0.093050648
30-06-2015,840,-0.090909091
30-09-2015,795,0.053571429
31-12-2015,870,-0.094339623
31-03-2016,816,0.062068966
30-06-2016,909,-0.113970588
30-09-2016,884,0.02750275
31-12-2016,908,-0.027149321
31-03-2017,877,0.034140969
30-06-2017,933,-0.063854048
30-09-2017,923,0.010718114
31-12-2017,1023,-0.108342362
31-03-2018,966,0.055718475
30-06-2018,1005,-0.040372671
30-09-2018,976,0.028855721
31-12-2018,1055,-0.080942623
31-03-2019,980,0.071090047
30-06-2019,1029,-0.05
30-09-2019,1010,0.018464529
31-12-2019,1076,-0.065346535
31-03-2020,948,0.118959108
30-06-2020,775,0.182489451
30-09-2020,1000,-0.290322581
31-12-2020,1116,-0.116
31-03-2021,1118,-0.001792115
30-06-2021,1168,-0.044722719
30-09-2021,1144,0.020547945
31-12-2021,1192,-0.041958042
31-03-2022,1146,0.038590604
30-06-2022,1156,-0.008726003
30-09-2022,1158,-0.001730104
31-12-2022,1109,0.042314335
31-03-2023,1118,-0.008115419
30-06-2023,1222,-0.093023256
30-09-2023,1164,0.047463175
31-12-2023,1167,-0.00257732
31-03-2024,1087,0.068551842
30-06-2024,1141,-0.049678013
30-09-2024,1109,0.028045574
31-12-2024,1151,-0.037871957
31-03-2025,1073,0.067767159
30-06-2025,1164,-0.084808947
30-09-2025,1165,-0.000859107
31-12-2025,1175,-0.008583691
