Date,Sales,GrowthRate
30-06-2014,1266,-0.027597403
30-09-2014,1219,0.037124803
31-12-2014,1253,-0.027891715
31-03-2015,1133,0.095770152
30-06-2015,1119,0.012356575
30-09-2015,1083,0.032171582
31-12-2015,1147,-0.059095106
31-03-2016,1070,0.067131648
30-06-2016,1127,-0.053271028
30-09-2016,1063,0.056787933
31-12-2016,1102,-0.036688617
31-03-2017,1074,0.025408348
30-06-2017,1114,-0.037243948
30-09-2017,1105,0.008078995
31-12-2017,1170,-0.058823529
31-03-2018,1127,0.036752137
30-06-2018,1169,-0.037267081
30-09-2018,1080,0.076133447
31-12-2018,1181,-0.093518519
31-03-2019,1089,0.077900085
30-06-2019,1325,-0.21671258
30-09-2019,1101,0.169056604
31-12-2019,1171,-0.063578565
31-03-2020,1153,0.015371477
30-06-2020,775,0.327840416
30-09-2020,1152,-0.486451613
31-12-2020,1312,-0.138888889
31-03-2021,1254,0.044207317
30-06-2021,1354,-0.079744817
30-09-2021,1261,0.068685377
31-12-2021,1321,-0.047581285
31-03-2022,1288,0.024981075
30-06-2022,1294,-0.004658385
30-09-2022,1264,0.023183926
31-12-2022,1275,-0.008702532
31-03-2023,1316,-0.032156863
30-06-2023,1372,-0.042553191
30-09-2023,1314,0.042274052
31-12-2023,1364,-0.03805175
31-03-2024,1330,0.024926686
30-06-2024,1346,-0.012030075
30-09-2024,1325,0.015601783
31-12-2024,1357,-0.024150943
31-03-2025,1323,0.025055269
30-06-2025,1391,-0.051398337
30-09-2025,1378,0.009345794
31-12-2025,1468,-0.065312046
