Date,Sales,GrowthRate
30-06-2014,707,0.070959264
30-09-2014,704,0.004243281
31-12-2014,646,0.082386364
31-03-2015,631,0.023219814
30-06-2015,646,-0.023771791
30-09-2015,683,-0.057275542
31-12-2015,648,0.05124451
31-03-2016,640,0.012345679
30-06-2016,685,-0.0703125
30-09-2016,739,-0.078832117
31-12-2016,721,0.02435724
31-03-2017,683,0.052704577
30-06-2017,753,-0.102489019
30-09-2017,800,-0.062416999
31-12-2017,800,0
31-03-2018,807,-0.00875
30-06-2018,844,-0.045848823
30-09-2018,835,0.010663507
31-12-2018,816,0.022754491
31-03-2019,824,-0.009803922
30-06-2019,842,-0.02184466
30-09-2019,893,-0.060570071
31-12-2019,833,0.06718925
31-03-2020,814,0.022809124
30-06-2020,554,0.319410319
30-09-2020,830,-0.498194946
31-12-2020,796,0.040963855
31-03-2021,857,-0.076633166
30-06-2021,868,-0.012835473
30-09-2021,882,-0.016129032
31-12-2021,833,0.055555556
31-03-2022,910,-0.092436975
30-06-2022,894,0.017582418
30-09-2022,908,-0.015659955
31-12-2022,831,0.084801762
31-03-2023,953,-0.146811071
30-06-2023,939,0.014690451
30-09-2023,928,0.01171459
31-12-2023,882,0.049568966
31-03-2024,910,-0.031746032
30-06-2024,918,-0.008791209
30-09-2024,968,-0.054466231
31-12-2024,937,0.032024793
31-03-2025,919,0.019210245
30-06-2025,965,-0.050054407
30-09-2025,1018,-0.05492228
31-12-2025,1008,0.009823183
