Date,Sales,GrowthRate
30-06-2017,302,-1.626086957
30-09-2017,291,0.036423841
31-12-2017,319,-0.096219931
31-03-2018,308,0.034482759
30-06-2018,329,-0.068181818
30-09-2018,297,0.097264438
31-12-2018,317,-0.067340067
31-03-2019,305,0.03785489
30-06-2019,319,-0.045901639
30-09-2019,299,0.062695925
31-12-2019,309,-0.033444816
31-03-2020,253,0.181229773
30-06-2020,141,0.442687747
30-09-2020,251,-0.780141844
31-12-2020,280,-0.115537849
31-03-2021,288,-0.028571429
30-06-2021,314,-0.090277778
30-09-2021,308,0.01910828
31-12-2021,338,-0.097402597
31-03-2022,347,-0.026627219
30-06-2022,347,0
30-09-2022,298,0.141210375
31-12-2022,314,-0.053691275
31-03-2023,347,-0.105095541
30-06-2023,369,-0.063400576
30-09-2023,328,0.111111111
31-12-2023,326,0.006097561
31-03-2024,348,-0.067484663
30-06-2024,367,-0.054597701
30-09-2024,333,0.092643052
31-12-2024,365,-0.096096096
31-03-2025,361,0.010958904
30-06-2025,403,-0.11634349
30-09-2025,383,0.049627792
31-12-2025,411,-0.07310705
