Date,Sales,GrowthRate
31-03-2013,679,-0.178819444
30-06-2013,586,0.136966127
30-09-2013,593,-0.011945392
31-12-2013,586,0.011804384
31-03-2014,680,-0.160409556
30-06-2014,602,0.114705882
30-09-2014,620,-0.029900332
31-12-2014,583,0.059677419
31-03-2015,637,-0.092624357
30-06-2015,583,0.08477237
30-09-2015,556,0.046312178
31-12-2015,549,0.012589928
31-03-2016,650,-0.183970856
30-06-2016,576,0.113846154
30-09-2016,595,-0.032986111
31-12-2016,588,0.011764706
31-03-2017,656,-0.115646259
30-06-2017,625,0.047256098
30-09-2017,643,-0.0288
31-12-2017,651,-0.01244168
31-03-2018,756,-0.161290323
30-06-2018,662,0.124338624
30-09-2018,647,0.02265861
31-12-2018,652,-0.007727975
31-03-2019,714,-0.095092025
30-06-2019,653,0.085434174
30-09-2019,641,0.018376723
31-12-2019,654,-0.020280811
31-03-2020,504,0.229357798
30-06-2020,575,-0.140873016
30-09-2020,666,-0.15826087
31-12-2020,670,-0.006006006
31-03-2021,745,-0.111940299
30-06-2021,713,0.04295302
30-09-2021,710,0.004207574
31-12-2021,694,0.022535211
31-03-2022,726,-0.04610951
30-06-2022,676,0.068870523
30-09-2022,641,0.051775148
31-12-2022,667,-0.040561622
31-03-2023,748,-0.12143928
30-06-2023,726,0.029411765
30-09-2023,710,0.022038567
31-12-2023,725,-0.021126761
31-03-2024,796,-0.097931034
30-06-2024,769,0.033919598
30-09-2024,810,-0.053315995
31-12-2024,770,0.049382716
31-03-2025,858,-0.114285714
30-06-2025,878,-0.023310023
30-09-2025,905,-0.030751708
31-12-2025,903,0.002209945
