Date,Sales,GrowthRate
30-06-2021,317,0.042296073
30-09-2021,320,-0.009463722
31-12-2021,325,-0.015625
31-03-2022,336,-0.033846154
30-06-2022,310,0.077380952
30-09-2022,298,0.038709677
31-12-2022,307,-0.030201342
31-03-2023,338,-0.100977199
30-06-2023,316,0.065088757
30-09-2023,335,-0.060126582
31-12-2023,351,-0.047761194
31-03-2024,369,-0.051282051
30-06-2024,348,0.056910569
30-09-2024,365,-0.048850575
31-12-2024,360,0.01369863
31-03-2025,375,-0.041666667
30-06-2025,369,0.016
30-09-2025,373,-0.010840108
31-12-2025,403,-0.080428954
