Date,Sales,GrowthRate
30-06-2021,440,-0.009174312
30-09-2021,423,0.038636364
31-12-2021,428,-0.011820331
31-03-2022,444,-0.037383178
30-06-2022,429,0.033783784
30-09-2022,409,0.046620047
31-12-2022,423,-0.034229829
31-03-2023,480,-0.134751773
30-06-2023,457,0.047916667
30-09-2023,452,0.010940919
31-12-2023,480,-0.061946903
31-03-2024,517,-0.077083333
30-06-2024,488,0.056092843
30-09-2024,493,-0.010245902
31-12-2024,502,-0.018255578
31-03-2025,540,-0.075697211
30-06-2025,559,-0.035185185
30-09-2025,566,-0.012522361
31-12-2025,562,0.007067138
