Date,Sales,GrowthRate
31-03-2013,173,-0.123376623
30-06-2013,160,0.075144509
30-09-2013,163,-0.01875
31-12-2013,165,-0.012269939
31-03-2014,189,-0.145454545
30-06-2014,174,0.079365079
30-09-2014,173,0.005747126
31-12-2014,170,0.01734104
31-03-2015,174,-0.023529412
30-06-2015,171,0.017241379
30-09-2015,170,0.005847953
31-12-2015,181,-0.064705882
31-03-2016,202,-0.116022099
30-06-2016,189,0.064356436
30-09-2016,190,-0.005291005
31-12-2016,191,-0.005263158
31-03-2017,209,-0.094240838
30-06-2017,206,0.014354067
30-09-2017,204,0.009708738
31-12-2017,229,-0.12254902
31-03-2018,275,-0.200873362
30-06-2018,248,0.098181818
30-09-2018,249,-0.004032258
31-12-2018,262,-0.052208835
31-03-2019,296,-0.129770992
30-06-2019,286,0.033783784
30-09-2019,285,0.003496503
31-12-2019,298,-0.045614035
31-03-2020,296,0.006711409
30-06-2020,275,0.070945946
30-09-2020,290,-0.054545455
31-12-2020,323,-0.113793103
31-03-2021,354,-0.095975232
30-06-2021,327,0.076271186
30-09-2021,324,0.009174312
31-12-2021,329,-0.015432099
31-03-2022,384,-0.167173252
30-06-2022,335,0.127604167
30-09-2022,328,0.020895522
31-12-2022,355,-0.082317073
31-03-2023,396,-0.115492958
30-06-2023,390,0.015151515
30-09-2023,393,-0.007692308
31-12-2023,416,-0.058524173
31-03-2024,437,-0.050480769
30-06-2024,432,0.011441648
30-09-2024,454,-0.050925926
31-12-2024,458,-0.008810573
31-03-2025,488,-0.065502183
30-06-2025,504,-0.032786885
30-09-2025,527,-0.045634921
31-12-2025,548,-0.039848197
