Date,Sales,GrowthRate
30-06-2015,399,0.012376238
30-09-2015,375,0.060150376
31-12-2015,365,0.026666667
31-03-2016,427,-0.169863014
30-06-2016,418,0.021077283
30-09-2016,522,-0.248803828
31-12-2016,510,0.022988506
31-03-2017,638,-0.250980392
30-06-2017,521,0.18338558
30-09-2017,345,0.3378119
31-12-2017,355,-0.028985507
31-03-2018,399,-0.123943662
30-06-2018,354,0.112781955
30-09-2018,343,0.031073446
31-12-2018,349,-0.017492711
31-03-2019,364,-0.042979943
30-06-2019,343,0.057692308
30-09-2019,350,-0.020408163
31-12-2019,356,-0.017142857
31-03-2020,415,-0.165730337
30-06-2020,398,0.040963855
30-09-2020,457,-0.148241206
31-12-2020,469,-0.026258206
31-03-2021,424,0.095948827
30-06-2021,398,0.061320755
30-09-2021,382,0.040201005
31-12-2021,390,-0.020942408
31-03-2022,382,0.020512821
30-06-2022,330,0.136125654
30-09-2022,326,0.012121212
31-12-2022,347,-0.064417178
31-03-2023,349,-0.005763689
30-06-2023,231,0.338108883
30-09-2023,226,0.021645022
31-12-2023,235,-0.039823009
31-03-2024,217,0.076595745
30-06-2024,201,0.073732719
30-09-2024,209,-0.039800995
31-12-2024,207,0.009569378
31-03-2025,225,-0.086956522
30-06-2025,208,0.075555556
30-09-2025,215,-0.033653846
31-12-2025,224,-0.041860465
