Date,Sales,GrowthRate
30-06-2015,765,-0.015936255
30-09-2015,718,0.061437908
31-12-2015,719,-0.001392758
31-03-2016,781,-0.086230876
30-06-2016,771,0.012804097
30-09-2016,685,0.11154345
31-12-2016,673,0.017518248
31-03-2017,653,0.029717682
30-06-2017,720,-0.102603369
30-09-2017,812,-0.127777778
31-12-2017,824,-0.014778325
31-03-2018,936,-0.13592233
30-06-2018,841,0.101495726
30-09-2018,832,0.010701546
31-12-2018,845,-0.015625
31-03-2019,920,-0.088757396
30-06-2019,844,0.082608696
30-09-2019,870,-0.030805687
31-12-2019,887,-0.01954023
31-03-2020,756,0.147688839
30-06-2020,680,0.100529101
30-09-2020,833,-0.225
31-12-2020,885,-0.06242497
31-03-2021,940,-0.062146893
30-06-2021,934,0.006382979
30-09-2021,947,-0.01391863
31-12-2021,910,0.03907075
31-03-2022,937,-0.02967033
30-06-2022,829,0.115261473
30-09-2022,838,-0.010856454
31-12-2022,825,0.015513126
31-03-2023,930,-0.127272727
30-06-2023,927,0.003225806
30-09-2023,953,-0.028047465
31-12-2023,953,0
31-03-2024,1026,-0.07660021
30-06-2024,914,0.109161793
30-09-2024,974,-0.065645514
31-12-2024,973,0.001026694
31-03-2025,1041,-0.069886948
30-06-2025,990,0.048991354
30-09-2025,1014,-0.024242424
31-12-2025,1020,-0.00591716
