Date,Sales,GrowthRate
30-09-2019,315,-0.022727273
31-12-2019,327,-0.038095238
31-03-2020,252,0.229357798
30-06-2020,252,0
30-09-2020,301,-0.194444444
31-12-2020,325,-0.079734219
31-03-2021,346,-0.064615385
30-06-2021,328,0.052023121
30-09-2021,318,0.030487805
31-12-2021,318,0
31-03-2022,323,-0.01572327
30-06-2022,281,0.13003096
30-09-2022,264,0.060498221
31-12-2022,304,-0.151515152
31-03-2023,343,-0.128289474
30-06-2023,282,0.177842566
30-09-2023,294,-0.042553191
31-12-2023,329,-0.119047619
31-03-2024,355,-0.079027356
30-06-2024,292,0.177464789
30-09-2024,408,-0.397260274
31-12-2024,307,0.24754902
31-03-2025,343,-0.117263844
30-06-2025,321,0.064139942
30-09-2025,333,-0.037383178
31-12-2025,333,0
