Date,Sales,GrowthRate
30-09-2019,133,0.02919708
31-12-2019,136,-0.022556391
31-03-2020,100,0.264705882
30-06-2020,112,-0.12
30-09-2020,130,-0.160714286
31-12-2020,133,-0.023076923
31-03-2021,147,-0.105263158
30-06-2021,149,-0.013605442
30-09-2021,144,0.033557047
31-12-2021,139,0.034722222
31-03-2022,149,-0.071942446
30-06-2022,129,0.134228188
30-09-2022,128,0.007751938
31-12-2022,139,-0.0859375
31-03-2023,145,-0.043165468
30-06-2023,136,0.062068966
30-09-2023,133,0.022058824
31-12-2023,150,-0.127819549
31-03-2024,158,-0.053333333
30-06-2024,145,0.082278481
30-09-2024,147,-0.013793103
31-12-2024,149,-0.013605442
31-03-2025,168,-0.127516779
30-06-2025,163,0.029761905
30-09-2025,165,-0.012269939
31-12-2025,173,-0.048484848
