Date,Sales,GrowthRate
30-09-2015,80,0.024390244
31-12-2015,84,-0.05
31-03-2016,88,-0.047619048
30-06-2016,82,0.068181818
30-09-2016,84,-0.024390244
31-12-2016,88,-0.047619048
31-03-2017,99,-0.125
30-06-2017,89,0.101010101
30-09-2017,91,-0.02247191
31-12-2017,98,-0.076923077
31-03-2018,118,-0.204081633
30-06-2018,91,0.228813559
30-09-2018,89,0.021978022
31-12-2018,95,-0.06741573
31-03-2019,105,-0.105263158
30-06-2019,91,0.133333333
30-09-2019,89,0.021978022
31-12-2019,97,-0.08988764
31-03-2020,70,0.278350515
30-06-2020,211,-2.014285714
30-09-2020,235,-0.113744076
31-12-2020,265,-0.127659574
31-03-2021,280,-0.056603774
30-06-2021,281,-0.003571429
30-09-2021,280,0.003558719
31-12-2021,290,-0.035714286
31-03-2022,311,-0.072413793
30-06-2022,287,0.077170418
30-09-2022,283,0.013937282
31-12-2022,297,-0.049469965
31-03-2023,341,-0.148148148
30-06-2023,303,0.11143695
30-09-2023,302,0.00330033
31-12-2023,319,-0.056291391
31-03-2024,339,-0.062695925
30-06-2024,315,0.07079646
30-09-2024,319,-0.012698413
31-12-2024,313,0.018808777
31-03-2025,328,-0.047923323
30-06-2025,309,0.057926829
30-09-2025,335,-0.084142395
31-12-2025,344,-0.026865672
