Date,Sales,GrowthRate
31-03-2013,653,-0.097478992
30-06-2013,607,0.070444104
30-09-2013,680,-0.120263591
31-12-2013,598,0.120588235
31-03-2014,666,-0.113712375
30-06-2014,654,0.018018018
30-09-2014,700,-0.070336391
31-12-2014,686,0.02
31-03-2015,761,-0.109329446
30-06-2015,786,-0.032851511
30-09-2015,768,0.022900763
31-12-2015,729,0.05078125
31-03-2016,844,-0.157750343
30-06-2016,758,0.101895735
30-09-2016,805,-0.062005277
31-12-2016,783,0.027329193
31-03-2017,888,-0.134099617
30-06-2017,765,0.138513514
30-09-2017,824,-0.077124183
31-12-2017,806,0.02184466
31-03-2018,877,-0.08808933
30-06-2018,764,0.128848347
30-09-2018,825,-0.079842932
31-12-2018,745,0.096969697
31-03-2019,840,-0.127516779
30-06-2019,729,0.132142857
30-09-2019,785,-0.076817558
31-12-2019,739,0.058598726
31-03-2020,436,0.410013532
30-06-2020,672,-0.541284404
30-09-2020,760,-0.130952381
31-12-2020,701,0.077631579
31-03-2021,794,-0.132667618
30-06-2021,770,0.0302267
30-09-2021,761,0.011688312
31-12-2021,708,0.069645204
31-03-2022,826,-0.166666667
30-06-2022,717,0.131961259
30-09-2022,790,-0.10181311
31-12-2022,764,0.032911392
31-03-2023,832,-0.089005236
30-06-2023,720,0.134615385
30-09-2023,782,-0.086111111
31-12-2023,745,0.047314578
31-03-2024,791,-0.061744966
30-06-2024,766,0.031605563
30-09-2024,768,-0.002610966
31-12-2024,775,-0.009114583
31-03-2025,875,-0.129032258
30-06-2025,834,0.046857143
30-09-2025,920,-0.103117506
31-12-2025,953,-0.035869565
