Date,Sales,GrowthRate
30-06-2021,303,-0.034129693
30-09-2021,286,0.056105611
31-12-2021,278,0.027972028
31-03-2022,295,-0.061151079
30-06-2022,269,0.088135593
30-09-2022,286,-0.063197026
31-12-2022,274,0.041958042
31-03-2023,293,-0.069343066
30-06-2023,273,0.068259386
30-09-2023,278,-0.018315018
31-12-2023,265,0.04676259
31-03-2024,291,-0.098113208
30-06-2024,268,0.079037801
30-09-2024,278,-0.037313433
31-12-2024,258,0.071942446
31-03-2025,284,-0.100775194
30-06-2025,274,0.035211268
30-09-2025,282,-0.02919708
31-12-2025,269,0.046099291
