Date,Sales,GrowthRate
30-06-2021,347,-0.126623377
30-09-2021,327,0.057636888
31-12-2021,312,0.04587156
31-03-2022,334,-0.070512821
30-06-2022,312,0.065868263
30-09-2022,348,-0.115384615
31-12-2022,337,0.031609195
31-03-2023,625,-0.854599407
30-06-2023,357,0.4288
30-09-2023,367,-0.028011204
31-12-2023,363,0.010899183
31-03-2024,366,-0.008264463
30-06-2024,368,-0.005464481
30-09-2024,388,-0.054347826
31-12-2024,372,0.041237113
31-03-2025,404,-0.086021505
30-06-2025,371,0.081683168
30-09-2025,390,-0.051212938
31-12-2025,367,0.058974359
