Date,Sales,GrowthRate
31-03-2013,234,-0.049327354
30-06-2013,209,0.106837607
30-09-2013,230,-0.100478469
31-12-2013,271,-0.17826087
31-03-2014,271,0
30-06-2014,242,0.10701107
30-09-2014,257,-0.061983471
31-12-2014,279,-0.085603113
31-03-2015,293,-0.050179211
30-06-2015,274,0.064846416
30-09-2015,280,-0.02189781
31-12-2015,293,-0.046428571
31-03-2016,293,0
30-06-2016,263,0.102389078
30-09-2016,272,-0.034220532
31-12-2016,310,-0.139705882
31-03-2017,303,0.022580645
30-06-2017,243,0.198019802
30-09-2017,258,-0.061728395
31-12-2017,355,-0.375968992
31-03-2018,370,-0.042253521
30-06-2018,324,0.124324324
30-09-2018,334,-0.030864198
31-12-2018,348,-0.041916168
31-03-2019,330,0.051724138
30-06-2019,306,0.072727273
30-09-2019,311,-0.016339869
31-12-2019,312,-0.003215434
31-03-2020,274,0.121794872
30-06-2020,287,-0.047445255
30-09-2020,284,0.010452962
31-12-2020,307,-0.080985915
31-03-2021,293,0.045602606
30-06-2021,245,0.163822526
30-09-2021,261,-0.065306122
31-12-2021,255,0.022988506
31-03-2022,213,0.164705882
30-06-2022,206,0.03286385
30-09-2022,228,-0.106796117
31-12-2022,215,0.057017544
31-03-2023,199,0.074418605
30-06-2023,188,0.055276382
30-09-2023,217,-0.154255319
31-12-2023,224,-0.032258065
31-03-2024,223,0.004464286
30-06-2024,215,0.035874439
30-09-2024,232,-0.079069767
31-12-2024,236,-0.017241379
31-03-2025,240,-0.016949153
30-06-2025,217,0.095833333
30-09-2025,230,-0.059907834
31-12-2025,248,-0.07826087
