Date,Sales,GrowthRate
30-06-2015,705,-0.02173913
30-09-2015,690,0.021276596
31-12-2015,662,0.04057971
31-03-2016,675,-0.019637462
30-06-2016,658,0.025185185
30-09-2016,680,-0.03343465
31-12-2016,652,0.041176471
31-03-2017,696,-0.067484663
30-06-2017,659,0.05316092
30-09-2017,273,0.585735964
31-12-2017,302,-0.106227106
31-03-2018,325,-0.07615894
30-06-2018,301,0.073846154
30-09-2018,311,-0.033222591
31-12-2018,341,-0.096463023
31-03-2019,362,-0.061583578
30-06-2019,340,0.060773481
30-09-2019,338,0.005882353
31-12-2019,346,-0.023668639
31-03-2020,351,-0.014450867
30-06-2020,322,0.082621083
30-09-2020,436,-0.354037267
31-12-2020,421,0.03440367
31-03-2021,372,0.116389549
30-06-2021,370,0.005376344
30-09-2021,420,-0.135135135
31-12-2021,381,0.092857143
31-03-2022,358,0.060367454
30-06-2022,334,0.067039106
30-09-2022,345,-0.032934132
31-12-2022,365,-0.057971014
31-03-2023,374,-0.024657534
30-06-2023,262,0.299465241
30-09-2023,275,-0.049618321
31-12-2023,297,-0.08
31-03-2024,275,0.074074074
30-06-2024,251,0.087272727
30-09-2024,269,-0.071713147
31-12-2024,269,0
31-03-2025,278,-0.033457249
30-06-2025,263,0.053956835
30-09-2025,278,-0.057034221
31-12-2025,295,-0.061151079
