Date,Sales,GrowthRate
30-06-2015,587,-0.087037037
30-09-2015,573,0.023850085
31-12-2015,545,0.04886562
31-03-2016,577,-0.058715596
30-06-2016,577,0
30-09-2016,586,-0.01559792
31-12-2016,582,0.006825939
31-03-2017,618,-0.06185567
30-06-2017,586,0.051779935
30-09-2017,522,0.109215017
31-12-2017,560,-0.072796935
31-03-2018,577,-0.030357143
30-06-2018,556,0.036395147
30-09-2018,561,-0.008992806
31-12-2018,589,-0.049910873
31-03-2019,609,-0.033955857
30-06-2019,573,0.0591133
30-09-2019,584,-0.019197208
31-12-2019,587,-0.005136986
31-03-2020,412,0.298126065
30-06-2020,400,0.029126214
30-09-2020,560,-0.4
31-12-2020,538,0.039285714
31-03-2021,602,-0.118959108
30-06-2021,620,-0.029900332
30-09-2021,550,0.112903226
31-12-2021,609,-0.107272727
31-03-2022,554,0.090311987
30-06-2022,509,0.081227437
30-09-2022,560,-0.100196464
31-12-2022,600,-0.071428571
31-03-2023,571,0.048333333
30-06-2023,619,-0.084063047
30-09-2023,688,-0.111470113
31-12-2023,663,0.036337209
31-03-2024,679,-0.02413273
30-06-2024,630,0.072164948
30-09-2024,675,-0.071428571
31-12-2024,623,0.077037037
31-03-2025,668,-0.07223114
30-06-2025,622,0.068862275
30-09-2025,665,-0.069131833
31-12-2025,634,0.046616541
