Date,Sales,GrowthRate
30-09-2019,802,-0.080862534
31-12-2019,790,0.014962594
31-03-2020,546,0.308860759
30-06-2020,692,-0.267399267
30-09-2020,770,-0.112716763
31-12-2020,756,0.018181818
31-03-2021,846,-0.119047619
30-06-2021,795,0.060283688
30-09-2021,749,0.057861635
31-12-2021,784,-0.046728972
31-03-2022,842,-0.073979592
30-06-2022,762,0.095011876
30-09-2022,817,-0.072178478
31-12-2022,824,-0.008567931
31-03-2023,855,-0.037621359
30-06-2023,821,0.039766082
30-09-2023,863,-0.051157125
31-12-2023,875,-0.013904983
31-03-2024,936,-0.069714286
30-06-2024,855,0.086538462
30-09-2024,826,0.033918129
31-12-2024,943,-0.141646489
31-03-2025,999,-0.059384942
30-06-2025,890,0.109109109
30-09-2025,966,-0.085393258
31-12-2025,977,-0.011387164
