Date,Sales,GrowthRate
30-09-2019,287,-0.099616858
31-12-2019,270,0.059233449
31-03-2020,172,0.362962963
30-06-2020,202,-0.174418605
30-09-2020,281,-0.391089109
31-12-2020,293,-0.042704626
31-03-2021,302,-0.030716724
30-06-2021,291,0.036423841
30-09-2021,291,0
31-12-2021,270,0.072164948
31-03-2022,302,-0.118518519
30-06-2022,276,0.086092715
30-09-2022,291,-0.054347826
31-12-2022,281,0.034364261
31-03-2023,304,-0.081850534
30-06-2023,284,0.065789474
30-09-2023,293,-0.031690141
31-12-2023,275,0.061433447
31-03-2024,317,-0.152727273
30-06-2024,312,0.015772871
30-09-2024,333,-0.067307692
31-12-2024,327,0.018018018
31-03-2025,352,-0.076452599
30-06-2025,341,0.03125
30-09-2025,355,-0.041055718
31-12-2025,330,0.070422535
