Date,Sales,GrowthRate
30-09-2015,267,-0.011363636
31-12-2015,271,-0.014981273
31-03-2016,283,-0.044280443
30-06-2016,274,0.03180212
30-09-2016,285,-0.040145985
31-12-2016,282,0.010526316
31-03-2017,297,-0.053191489
30-06-2017,280,0.057239057
30-09-2017,274,0.021428571
31-12-2017,300,-0.094890511
31-03-2018,306,-0.02
30-06-2018,218,0.287581699
30-09-2018,233,-0.068807339
31-12-2018,230,0.012875536
31-03-2019,246,-0.069565217
30-06-2019,231,0.06097561
30-09-2019,244,-0.056277056
31-12-2019,243,0.004098361
31-03-2020,127,0.477366255
30-06-2020,242,-0.905511811
30-09-2020,346,-0.429752066
31-12-2020,353,-0.020231214
31-03-2021,374,-0.059490085
30-06-2021,360,0.037433155
30-09-2021,354,0.016666667
31-12-2021,343,0.031073446
31-03-2022,373,-0.087463557
30-06-2022,380,-0.018766756
30-09-2022,403,-0.060526316
31-12-2022,402,0.00248139
31-03-2023,422,-0.049751244
30-06-2023,392,0.071090047
30-09-2023,403,-0.028061224
31-12-2023,407,-0.009925558
31-03-2024,439,-0.078624079
30-06-2024,398,0.093394077
30-09-2024,418,-0.050251256
31-12-2024,419,-0.002392344
31-03-2025,431,-0.028639618
30-06-2025,393,0.088167053
30-09-2025,409,-0.040712468
31-12-2025,402,0.017114914
