Date,Sales,GrowthRate
31-03-2013,1332,-0.137489325
30-06-2013,1193,0.104354354
30-09-2013,1273,-0.067057837
31-12-2013,1184,0.06991359
31-03-2014,1346,-0.136824324
30-06-2014,1256,0.066864785
30-09-2014,1320,-0.050955414
31-12-2014,1269,0.038636364
31-03-2015,1398,-0.101654846
30-06-2015,1369,0.02074392
30-09-2015,1324,0.032870709
31-12-2015,1278,0.034743202
31-03-2016,1494,-0.169014085
30-06-2016,1334,0.107095047
30-09-2016,1400,-0.049475262
31-12-2016,1371,0.020714286
31-03-2017,1544,-0.126185266
30-06-2017,1390,0.099740933
30-09-2017,1467,-0.055395683
31-12-2017,1457,0.006816633
31-03-2018,1633,-0.120796156
30-06-2018,1426,0.126760563
30-09-2018,1472,-0.032258065
31-12-2018,1397,0.050951087
31-03-2019,1554,-0.112383679
30-06-2019,1382,0.110682111
30-09-2019,1426,-0.031837916
31-12-2019,1393,0.023141655
31-03-2020,940,0.325197416
30-06-2020,1247,-0.326595745
30-09-2020,1426,-0.143544507
31-12-2020,1371,0.038569425
31-03-2021,1539,-0.122538293
30-06-2021,1483,0.036387264
30-09-2021,1471,0.008091706
31-12-2021,1402,0.046906866
31-03-2022,1552,-0.106990014
30-06-2022,1393,0.102448454
30-09-2022,1431,-0.027279253
31-12-2022,1431,0
31-03-2023,1580,-0.104122991
30-06-2023,1446,0.084810127
30-09-2023,1492,-0.031811895
31-12-2023,1470,0.014745308
31-03-2024,1587,-0.079591837
30-06-2024,1535,0.032766226
30-09-2024,1578,-0.028013029
31-12-2024,1545,0.020912548
31-03-2025,1733,-0.121682848
30-06-2025,1712,0.012117715
30-09-2025,1825,-0.066004673
31-12-2025,1856,-0.016986301
