Date,Sales,GrowthRate
30-06-2021,620,0.006410256
30-09-2021,606,0.022580645
31-12-2021,603,0.004950495
31-03-2022,631,-0.046434494
30-06-2022,579,0.082408875
30-09-2022,584,-0.008635579
31-12-2022,581,0.005136986
31-03-2023,631,-0.08605852
30-06-2023,589,0.066561014
30-09-2023,613,-0.040747029
31-12-2023,616,-0.004893964
31-03-2024,660,-0.071428571
30-06-2024,616,0.066666667
30-09-2024,643,-0.043831169
31-12-2024,618,0.038880249
31-03-2025,659,-0.066343042
30-06-2025,643,0.024279211
30-09-2025,655,-0.018662519
31-12-2025,672,-0.025954198
