Date,Sales,GrowthRate
30-06-2021,787,-0.057795699
30-09-2021,750,0.047013977
31-12-2021,740,0.013333333
31-03-2022,778,-0.051351351
30-06-2022,741,0.047557841
30-09-2022,757,-0.021592443
31-12-2022,760,-0.003963012
31-03-2023,1105,-0.453947368
30-06-2023,814,0.263348416
30-09-2023,819,-0.006142506
31-12-2023,843,-0.029304029
31-03-2024,883,-0.047449585
30-06-2024,856,0.030577576
30-09-2024,881,-0.029205607
31-12-2024,874,0.007945516
31-03-2025,944,-0.080091533
30-06-2025,930,0.014830508
30-09-2025,956,-0.027956989
31-12-2025,929,0.028242678
