Date,Sales,GrowthRate
30-06-2015,1104,-0.009140768
30-09-2015,1065,0.035326087
31-12-2015,1027,0.035680751
31-03-2016,1102,-0.073028238
30-06-2016,1076,0.023593466
30-09-2016,1202,-0.117100372
31-12-2016,1162,0.03327787
31-03-2017,1334,-0.148020654
30-06-2017,1180,0.115442279
30-09-2017,618,0.476271186
31-12-2017,657,-0.063106796
31-03-2018,724,-0.101978691
30-06-2018,655,0.095303867
30-09-2018,654,0.001526718
31-12-2018,690,-0.055045872
31-03-2019,726,-0.052173913
30-06-2019,683,0.05922865
30-09-2019,688,-0.007320644
31-12-2019,702,-0.020348837
31-03-2020,766,-0.091168091
30-06-2020,720,0.060052219
30-09-2020,893,-0.240277778
31-12-2020,890,0.003359462
31-03-2021,796,0.105617978
30-06-2021,768,0.035175879
30-09-2021,802,-0.044270833
31-12-2021,771,0.038653367
31-03-2022,740,0.040207523
30-06-2022,664,0.102702703
30-09-2022,671,-0.010542169
31-12-2022,712,-0.061102832
31-03-2023,723,-0.015449438
30-06-2023,493,0.318118949
30-09-2023,501,-0.016227181
31-12-2023,532,-0.061876248
31-03-2024,492,0.07518797
30-06-2024,452,0.081300813
30-09-2024,478,-0.057522124
31-12-2024,476,0.0041841
31-03-2025,503,-0.056722689
30-06-2025,471,0.06361829
30-09-2025,493,-0.04670913
31-12-2025,519,-0.052738337
