Date,Sales,GrowthRate
30-06-2015,1352,-0.045630317
30-09-2015,1291,0.045118343
31-12-2015,1264,0.02091402
31-03-2016,1358,-0.074367089
30-06-2016,1348,0.00736377
30-09-2016,1271,0.057121662
31-12-2016,1255,0.012588513
31-03-2017,1271,-0.012749004
30-06-2017,1306,-0.027537372
30-09-2017,1334,-0.02143951
31-12-2017,1384,-0.037481259
31-03-2018,1513,-0.093208092
30-06-2018,1397,0.07666887
30-09-2018,1393,0.002863278
31-12-2018,1434,-0.029432879
31-03-2019,1529,-0.066248257
30-06-2019,1417,0.073250491
30-09-2019,1454,-0.026111503
31-12-2019,1474,-0.013755158
31-03-2020,1168,0.207598372
30-06-2020,1080,0.075342466
30-09-2020,1393,-0.289814815
31-12-2020,1423,-0.021536253
31-03-2021,1542,-0.083626142
30-06-2021,1554,-0.007782101
30-09-2021,1497,0.036679537
31-12-2021,1519,-0.014696059
31-03-2022,1491,0.01843318
30-06-2022,1338,0.102615694
30-09-2022,1398,-0.044843049
31-12-2022,1425,-0.019313305
31-03-2023,1501,-0.053333333
30-06-2023,1546,-0.029980013
30-09-2023,1641,-0.0614489
31-12-2023,1616,0.015234613
31-03-2024,1705,-0.055074257
30-06-2024,1544,0.094428152
30-09-2024,1649,-0.068005181
31-12-2024,1596,0.032140691
31-03-2025,1709,-0.070802005
30-06-2025,1612,0.056758338
30-09-2025,1679,-0.041563275
31-12-2025,1654,0.014889815
