Date,Sales,GrowthRate
30-09-2019,1117,-0.063809524
31-12-2019,1117,0
31-03-2020,798,0.285586392
30-06-2020,944,-0.182957393
30-09-2020,1071,-0.134533898
31-12-2020,1081,-0.009337068
31-03-2021,1192,-0.102682701
30-06-2021,1123,0.057885906
30-09-2021,1067,0.049866429
31-12-2021,1102,-0.032802249
31-03-2022,1165,-0.057168784
30-06-2022,1043,0.10472103
30-09-2022,1081,-0.036433365
31-12-2022,1128,-0.043478261
31-03-2023,1198,-0.062056738
30-06-2023,1103,0.079298831
30-09-2023,1157,-0.048957389
31-12-2023,1204,-0.040622299
31-03-2024,1291,-0.072259136
30-06-2024,1147,0.111541441
30-09-2024,1234,-0.075850044
31-12-2024,1250,-0.012965964
31-03-2025,1342,-0.0736
30-06-2025,1211,0.097615499
30-09-2025,1299,-0.072667217
31-12-2025,1310,-0.008468052
