Date,Sales,GrowthRate
30-09-2019,420,-0.055276382
31-12-2019,406,0.033333333
31-03-2020,272,0.330049261
30-06-2020,314,-0.154411765
30-09-2020,411,-0.308917197
31-12-2020,426,-0.03649635
31-03-2021,449,-0.05399061
30-06-2021,440,0.020044543
30-09-2021,435,0.011363636
31-12-2021,409,0.059770115
31-03-2022,451,-0.102689487
30-06-2022,405,0.101995565
30-09-2022,419,-0.034567901
31-12-2022,420,-0.002386635
31-03-2023,449,-0.069047619
30-06-2023,420,0.064587973
30-09-2023,426,-0.014285714
31-12-2023,425,0.002347418
31-03-2024,475,-0.117647059
30-06-2024,457,0.037894737
30-09-2024,480,-0.050328228
31-12-2024,476,0.008333333
31-03-2025,520,-0.092436975
30-06-2025,504,0.030769231
30-09-2025,520,-0.031746032
31-12-2025,503,0.032692308
