Date,Sales,GrowthRate
30-09-2015,347,-0.002890173
31-12-2015,355,-0.023054755
31-03-2016,371,-0.045070423
30-06-2016,356,0.040431267
30-09-2016,369,-0.036516854
31-12-2016,370,-0.002710027
31-03-2017,396,-0.07027027
30-06-2017,369,0.068181818
30-09-2017,365,0.010840108
31-12-2017,398,-0.090410959
31-03-2018,424,-0.065326633
30-06-2018,309,0.271226415
30-09-2018,322,-0.042071197
31-12-2018,325,-0.00931677
31-03-2019,351,-0.08
30-06-2019,322,0.082621083
30-09-2019,333,-0.034161491
31-12-2019,340,-0.021021021
31-03-2020,197,0.420588235
30-06-2020,453,-1.299492386
30-09-2020,581,-0.282560706
31-12-2020,618,-0.063683305
31-03-2021,654,-0.058252427
30-06-2021,641,0.019877676
30-09-2021,634,0.010920437
31-12-2021,633,0.001577287
31-03-2022,684,-0.08056872
30-06-2022,667,0.024853801
30-09-2022,686,-0.028485757
31-12-2022,699,-0.018950437
31-03-2023,763,-0.091559371
30-06-2023,695,0.089121887
30-09-2023,705,-0.014388489
31-12-2023,726,-0.029787234
31-03-2024,778,-0.071625344
30-06-2024,713,0.083547558
30-09-2024,737,-0.033660589
31-12-2024,732,0.006784261
31-03-2025,759,-0.036885246
30-06-2025,702,0.075098814
30-09-2025,744,-0.05982906
31-12-2025,746,-0.002688172
