Date,Sales,GrowthRate
31-12-2014,11.719,-0.153558421
31-03-2015,12.601,-0.075262394
30-06-2015,14.692,-0.165939211
30-09-2015,15.022,-0.022461203
31-12-2015,58.741685,-2.910377114
31-03-2016,18.507,0.684942643
30-06-2016,21.414,-0.157075701
30-09-2016,22.807,-0.065050901
31-12-2016,87.150272,-2.821207173
31-03-2017,24.726,0.716283157
30-06-2017,27.169,-0.09880288
30-09-2017,28.259,-0.040119254
31-12-2017,34.437,-0.218620616
31-03-2018,36.9,-0.07152191
30-06-2018,38.359,-0.039539295
30-09-2018,38.815,-0.011887693
31-12-2018,40.148,-0.034342393
31-03-2019,45.928,-0.143967321
30-06-2019,47.827,-0.041347326
30-09-2019,49.23,-0.029334895
31-12-2019,49.198,0.00065001
31-03-2020,41.555,0.155351844
30-06-2020,27.066,0.348670437
30-09-2020,41.42,-0.530333259
31-12-2020,50.101,-0.209584742
31-03-2021,49.134,0.019301012
30-06-2021,55.856,-0.136809541
30-09-2021,55.283,0.010258522
31-12-2021,59.528,-0.076786716
31-03-2022,59.587,-0.00099113
30-06-2022,66.888,-0.122526726
30-09-2022,64.859,0.03033429
31-12-2022,64.084,0.011948997
31-03-2023,69.519,-0.084810561
30-06-2023,74.727,-0.074914772
30-09-2023,76.13,-0.018775008
31-12-2023,80.995,-0.063903849
31-03-2024,69.011,0.147959751
30-06-2024,81.223,-0.176957297
30-09-2024,74.713,0.080149711
31-12-2024,67.601,0.095190931
31-03-2025,67.28,0.00474845
30-06-2025,78.637,-0.168802021
30-09-2025,79.656,-0.012958277
31-12-2025,86.331,-0.083797831
