Date,Sales,GrowthRate
31-12-2014,23.684,-0.061824703
31-03-2015,26.351,-0.112607668
30-06-2015,27.619,-0.048119616
30-09-2015,35.394,-0.281509106
31-12-2015,37.947,-0.07213087
31-03-2016,39.412,-0.038606477
30-06-2016,43.692,-0.108596367
30-09-2016,44.38,-0.01574659
31-12-2016,48.62,-0.095538531
31-03-2017,48.487,0.0027355
30-06-2017,53.42,-0.10173861
30-09-2017,55.652,-0.041782104
31-12-2017,61.615,-0.107147991
31-03-2018,65.801,-0.067938002
30-06-2018,71.279,-0.083251014
30-09-2018,72.991,-0.024018294
31-12-2018,80.645,-0.104862243
31-03-2019,82.511,-0.023138446
30-06-2019,86.374,-0.046818
30-09-2019,90.272,-0.045129321
31-12-2019,96.065,-0.064172722
31-03-2020,95.774,0.003029199
30-06-2020,78.043,0.185133752
30-09-2020,109.656,-0.405071563
31-12-2020,116.797,-0.065121836
31-03-2021,120.07,-0.02802298
30-06-2021,128.402,-0.069392854
30-09-2021,134.834,-0.050092678
31-12-2021,144.483,-0.071562069
31-03-2022,144.308,0.001211215
30-06-2022,141.456,0.019763284
30-09-2022,148.819,-0.052051521
31-12-2022,157.132,-0.055859803
31-03-2023,171.879,-0.09385103
30-06-2023,186.772,-0.086648165
30-09-2023,194.816,-0.043068554
31-12-2023,203.684,-0.045519875
31-03-2024,209.644,-0.029261012
30-06-2024,218.18,-0.040716643
30-09-2024,226.326,-0.037336144
31-12-2024,247.917,-0.095397789
31-03-2025,256.86,-0.036072557
30-06-2025,260.818,-0.015409172
30-09-2025,275.029,-0.05448627
31-12-2025,299.054,-0.087354424
