Date,Sales,GrowthRate
31-12-2014,35.403,0.09053105
31-03-2015,38.952,0.100245742
30-06-2015,42.311,0.08623434
30-09-2015,50.416,0.191557751
31-12-2015,54.416,0.079339892
31-03-2016,57.919,0.064374449
30-06-2016,65.106,0.124087087
30-09-2016,67.187,0.03196326
31-12-2016,73.105,0.088082516
31-03-2017,73.213,0.001477327
30-06-2017,80.589,0.100747135
30-09-2017,83.911,0.041221507
31-12-2017,96.051,0.144677098
31-03-2018,102.701,0.069234053
30-06-2018,109.638,0.067545594
30-09-2018,111.806,0.019774166
31-12-2018,120.793,0.080380302
31-03-2019,128.439,0.06329837
30-06-2019,134.201,0.044861763
30-09-2019,139.502,0.039500451
31-12-2019,145.263,0.041296899
31-03-2020,137.329,-0.054618175
30-06-2020,105.109,-0.234619054
30-09-2020,151.076,0.437326965
31-12-2020,166.898,0.104728746
31-03-2021,169.204,0.013816822
30-06-2021,184.258,0.088969528
30-09-2021,190.117,0.031797805
31-12-2021,204.011,0.073081313
31-03-2022,203.895,-0.000568597
30-06-2022,208.344,0.021820054
30-09-2022,213.678,0.025601889
31-12-2022,221.216,0.03527738
31-03-2023,241.398,0.091232099
30-06-2023,261.499,0.083269124
30-09-2023,270.946,0.036126333
31-12-2023,284.679,0.050685376
31-03-2024,278.655,-0.021160676
30-06-2024,299.403,0.074457663
30-09-2024,301.039,0.005464207
31-12-2024,315.518,0.048096758
31-03-2025,324.14,0.027326492
30-06-2025,339.455,0.047248103
30-09-2025,354.685,0.044866035
