Date,Sales,GrowthRate
30-06-2013,70,-0.044776119
30-09-2013,72,-0.028571429
31-12-2013,71,0.013888889
31-03-2014,72,-0.014084507
30-06-2014,85,-0.180555556
30-09-2014,82,0.035294118
31-12-2014,83,-0.012195122
31-03-2015,75,0.096385542
30-06-2015,89,-0.186666667
30-09-2015,84,0.056179775
31-12-2015,96,-0.142857143
31-03-2016,72,0.25
30-06-2016,93,-0.291666667
30-09-2016,80,0.139784946
31-12-2016,97,-0.2125
31-03-2017,66,0.319587629
30-06-2017,92,-0.393939394
30-09-2017,86,0.065217391
31-12-2017,97,-0.127906977
31-03-2018,59,0.391752577
30-06-2018,87,-0.474576271
30-09-2018,81,0.068965517
31-12-2018,94,-0.160493827
31-03-2019,61,0.35106383
30-06-2019,114,-0.868852459
30-09-2019,119,-0.043859649
31-12-2019,135,-0.134453782
31-03-2020,91,0.325925926
30-06-2020,101,-0.10989011
30-09-2020,117,-0.158415842
31-12-2020,122,-0.042735043
31-03-2021,116,0.049180328
30-06-2021,132,-0.137931034
30-09-2021,121,0.083333333
31-12-2021,128,-0.05785124
31-03-2022,118,0.078125
30-06-2022,134,-0.13559322
30-09-2022,136,-0.014925373
31-12-2022,133,0.022058824
31-03-2023,136,-0.022556391
30-06-2023,138,-0.014705882
30-09-2023,130,0.057971014
31-12-2023,149,-0.146153846
31-03-2024,123,0.174496644
30-06-2024,139,-0.130081301
30-09-2024,140,-0.007194245
31-12-2024,179,-0.278571429
31-03-2025,120,0.329608939
30-06-2025,165,-0.375
30-09-2025,158,0.042424242
,179,-0.132911392
