Date,Sales,GrowthRate
30-06-2013,211,-0.055
30-09-2013,207,0.018957346
31-12-2013,225,-0.086956522
31-03-2014,189,0.16
30-06-2014,199,-0.052910053
30-09-2014,207,-0.040201005
31-12-2014,210,-0.014492754
31-03-2015,178,0.152380952
30-06-2015,193,-0.084269663
30-09-2015,188,0.025906736
31-12-2015,196,-0.042553191
31-03-2016,171,0.12755102
30-06-2016,177,-0.035087719
30-09-2016,185,-0.04519774
31-12-2016,186,-0.005405405
31-03-2017,170,0.086021505
30-06-2017,177,-0.041176471
30-09-2017,186,-0.050847458
31-12-2017,187,-0.005376344
31-03-2018,183,0.021390374
30-06-2018,187,-0.021857923
30-09-2018,184,0.016042781
31-12-2018,185,-0.005434783
31-03-2019,174,0.059459459
30-06-2019,177,-0.017241379
30-09-2019,176,0.005649718
31-12-2019,182,-0.034090909
31-03-2020,158,0.131868132
30-06-2020,144,0.088607595
30-09-2020,163,-0.131944444
31-12-2020,183,-0.122699387
31-03-2021,175,0.043715847
30-06-2021,186,-0.062857143
30-09-2021,189,-0.016129032
31-12-2021,181,0.042328042
31-03-2022,182,-0.005524862
30-06-2022,178,0.021978022
30-09-2022,173,0.028089888
31-12-2022,179,-0.034682081
31-03-2023,175,0.022346369
30-06-2023,181,-0.034285714
30-09-2023,183,-0.011049724
31-12-2023,186,-0.016393443
31-03-2024,174,0.064516129
30-06-2024,183,-0.051724138
30-09-2024,190,-0.038251366
31-12-2024,187,0.015789474
31-03-2025,173,0.07486631
30-06-2025,192,-0.10982659
30-09-2025,197,-0.026041667
,203,-0.030456853
