Date,Sales,GrowthRate
30-06-2013,52,-0.083333333
30-09-2013,52,0
31-12-2013,61,-0.173076923
31-03-2014,54,0.114754098
30-06-2014,53,0.018518519
30-09-2014,43,0.188679245
31-12-2014,42,0.023255814
31-03-2015,37,0.119047619
30-06-2015,43,-0.162162162
30-09-2015,44,-0.023255814
31-12-2015,43,0.022727273
31-03-2016,39,0.093023256
30-06-2016,43,-0.102564103
30-09-2016,46,-0.069767442
31-12-2016,44,0.043478261
31-03-2017,44,0
30-06-2017,49,-0.113636364
30-09-2017,50,-0.020408163
31-12-2017,52,-0.04
31-03-2018,48,0.076923077
30-06-2018,55,-0.145833333
30-09-2018,54,0.018181818
31-12-2018,58,-0.074074074
31-03-2019,53,0.086206897
30-06-2019,61,-0.150943396
30-09-2019,62,-0.016393443
31-12-2019,66,-0.064516129
31-03-2020,60,0.090909091
30-06-2020,45,0.25
30-09-2020,58,-0.288888889
31-12-2020,68,-0.172413793
31-03-2021,60,0.117647059
30-06-2021,69,-0.15
30-09-2021,69,0
31-12-2021,69,0
31-03-2022,69,0
30-06-2022,70,-0.014492754
30-09-2022,67,0.042857143
31-12-2022,74,-0.104477612
31-03-2023,75,-0.013513514
30-06-2023,84,-0.12
30-09-2023,83,0.011904762
31-12-2023,86,-0.036144578
31-03-2024,81,0.058139535
30-06-2024,90,-0.111111111
30-09-2024,92,-0.022222222
31-12-2024,103,-0.119565217
31-03-2025,92,0.106796117
30-06-2025,102,-0.108695652
30-09-2025,100,0.019607843
,112,-0.12
