Date,Sales,GrowthRate
30-06-2013,161,0.035928144
30-09-2013,150,0.068322981
31-12-2013,175,-0.166666667
31-03-2014,165,0.057142857
30-06-2014,167,-0.012121212
30-09-2014,152,0.089820359
31-12-2014,170,-0.118421053
31-03-2015,151,0.111764706
30-06-2015,153,-0.013245033
30-09-2015,137,0.104575163
31-12-2015,163,-0.189781022
31-03-2016,153,0.061349693
30-06-2016,153,0
30-09-2016,138,0.098039216
31-12-2016,153,-0.108695652
31-03-2017,152,0.006535948
30-06-2017,150,0.013157895
30-09-2017,140,0.066666667
31-12-2017,157,-0.121428571
31-03-2018,155,0.012738854
30-06-2018,156,-0.006451613
30-09-2018,142,0.08974359
31-12-2018,160,-0.126760563
31-03-2019,152,0.05
30-06-2019,156,-0.026315789
30-09-2019,145,0.070512821
31-12-2019,160,-0.103448276
31-03-2020,137,0.14375
30-06-2020,112,0.182481752
30-09-2020,156,-0.392857143
31-12-2020,162,-0.038461538
31-03-2021,154,0.049382716
30-06-2021,161,-0.045454545
30-09-2021,145,0.099378882
31-12-2021,151,-0.04137931
31-03-2022,149,0.013245033
30-06-2022,149,0
30-09-2022,136,0.087248322
31-12-2022,150,-0.102941176
31-03-2023,152,-0.013333333
30-06-2023,152,0
30-09-2023,141,0.072368421
31-12-2023,154,-0.092198582
31-03-2024,155,-0.006493506
30-06-2024,156,-0.006451613
30-09-2024,146,0.064102564
31-12-2024,161,-0.102739726
31-03-2025,151,0.062111801
30-06-2025,162,-0.072847682
30-09-2025,154,0.049382716
31-12-2025,174,-0.12987013
