Date,Sales,GrowthRate
30-06-2013,214,0.02283105
30-09-2013,196,0.08411215
31-12-2013,236,-0.204081633
31-03-2014,219,0.072033898
30-06-2014,221,-0.00913242
30-09-2014,198,0.104072398
31-12-2014,235,-0.186868687
31-03-2015,209,0.110638298
30-06-2015,221,-0.057416268
30-09-2015,205,0.07239819
31-12-2015,248,-0.209756098
31-03-2016,234,0.056451613
30-06-2016,238,-0.017094017
30-09-2016,213,0.105042017
31-12-2016,247,-0.159624413
31-03-2017,244,0.012145749
30-06-2017,246,-0.008196721
30-09-2017,228,0.073170732
31-12-2017,266,-0.166666667
31-03-2018,259,0.026315789
30-06-2018,258,0.003861004
30-09-2018,232,0.100775194
31-12-2018,269,-0.159482759
31-03-2019,261,0.029739777
30-06-2019,262,-0.003831418
30-09-2019,240,0.083969466
31-12-2019,279,-0.1625
31-03-2020,230,0.17562724
30-06-2020,137,0.404347826
30-09-2020,219,-0.598540146
31-12-2020,237,-0.082191781
31-03-2021,212,0.105485232
30-06-2021,226,-0.066037736
30-09-2021,207,0.084070796
31-12-2021,232,-0.120772947
31-03-2022,231,0.004310345
30-06-2022,223,0.034632035
30-09-2022,210,0.058295964
31-12-2022,234,-0.114285714
31-03-2023,237,-0.012820513
30-06-2023,238,-0.004219409
30-09-2023,223,0.06302521
31-12-2023,242,-0.085201794
31-03-2024,239,0.012396694
30-06-2024,240,-0.0041841
30-09-2024,222,0.075
31-12-2024,246,-0.108108108
31-03-2025,244,0.008130081
30-06-2025,257,-0.053278689
30-09-2025,235,0.085603113
31-12-2025,275,-0.170212766
