Date,Sales,GrowthRate
30-06-2013,18,0.1
30-09-2013,16,0.111111111
31-12-2013,20,-0.25
31-03-2014,18,0.1
30-06-2014,31,-0.722222222
30-09-2014,46,-0.483870968
31-12-2014,52,-0.130434783
31-03-2015,47,0.096153846
30-06-2015,52,-0.106382979
30-09-2015,50,0.038461538
31-12-2015,56,-0.12
31-03-2016,57,-0.017857143
30-06-2016,61,-0.070175439
30-09-2016,48,0.213114754
31-12-2016,48,0
31-03-2017,43,0.104166667
30-06-2017,50,-0.162790698
30-09-2017,45,0.1
31-12-2017,51,-0.133333333
31-03-2018,49,0.039215686
30-06-2018,54,-0.102040816
30-09-2018,13,0.759259259
31-12-2018,56,-3.307692308
31-03-2019,14,0.75
30-06-2019,16,-0.142857143
30-09-2019,19,-0.1875
31-12-2019,30,-0.578947368
31-03-2020,21,0.3
30-06-2020,12,0.428571429
30-09-2020,19,-0.583333333
31-12-2020,16,0.157894737
31-03-2021,25,-0.5625
30-06-2021,21,0.16
30-09-2021,20,0.047619048
31-12-2021,25,-0.25
31-03-2022,20,0.2
30-06-2022,23,-0.15
30-09-2022,18,0.217391304
31-12-2022,26,-0.444444444
31-03-2023,23,0.115384615
30-06-2023,27,-0.173913043
30-09-2023,29,-0.074074074
31-12-2023,32,-0.103448276
31-03-2024,27,0.15625
30-06-2024,32,-0.185185185
30-09-2024,33,-0.03125
31-12-2024,39,-0.181818182
31-03-2025,29,0.256410256
30-06-2025,35,-0.206896552
30-09-2025,29,0.171428571
31-12-2025,43,-0.482758621
