Date,Sales,GrowthRate
30-06-2013,119,0.040322581
30-09-2013,115,0.033613445
31-12-2013,128,-0.113043478
31-03-2014,124,0.03125
30-06-2014,129,-0.040322581
30-09-2014,124,0.03875969
31-12-2014,129,-0.040322581
31-03-2015,123,0.046511628
30-06-2015,125,-0.016260163
30-09-2015,122,0.024
31-12-2015,127,-0.040983607
31-03-2016,114,0.102362205
30-06-2016,119,-0.043859649
30-09-2016,122,-0.025210084
31-12-2016,120,0.016393443
31-03-2017,120,0
30-06-2017,127,-0.058333333
30-09-2017,120,0.05511811
31-12-2017,128,-0.066666667
31-03-2018,121,0.0546875
30-06-2018,122,-0.008264463
30-09-2018,118,0.032786885
31-12-2018,127,-0.076271186
31-03-2019,119,0.062992126
30-06-2019,118,0.008403361
30-09-2019,120,-0.016949153
31-12-2019,131,-0.091666667
31-03-2020,109,0.167938931
30-06-2020,103,0.055045872
30-09-2020,118,-0.145631068
31-12-2020,130,-0.101694915
31-03-2021,149,-0.146153846
30-06-2021,149,0
30-09-2021,136,0.087248322
31-12-2021,144,-0.058823529
31-03-2022,141,0.020833333
30-06-2022,135,0.042553191
30-09-2022,128,0.051851852
31-12-2022,139,-0.0859375
31-03-2023,136,0.021582734
30-06-2023,137,-0.007352941
30-09-2023,143,-0.04379562
31-12-2023,148,-0.034965035
31-03-2024,146,0.013513514
30-06-2024,153,-0.047945205
30-09-2024,148,0.032679739
31-12-2024,162,-0.094594595
31-03-2025,154,0.049382716
30-06-2025,161,-0.045454545
30-09-2025,159,0.01242236
31-12-2025,175,-0.100628931
