Date,Sales,GrowthRate
30-06-2013,109,0.009090909
30-09-2013,101,0.073394495
31-12-2013,121,-0.198019802
31-03-2014,108,0.107438017
30-06-2014,121,-0.12037037
30-09-2014,144,-0.190082645
31-12-2014,169,-0.173611111
31-03-2015,153,0.094674556
30-06-2015,157,-0.026143791
30-09-2015,145,0.076433121
31-12-2015,176,-0.213793103
31-03-2016,156,0.113636364
30-06-2016,160,-0.025641026
30-09-2016,147,0.08125
31-12-2016,168,-0.142857143
31-03-2017,153,0.089285714
30-06-2017,151,0.013071895
30-09-2017,144,0.046357616
31-12-2017,167,-0.159722222
31-03-2018,152,0.089820359
30-06-2018,153,-0.006578947
30-09-2018,138,0.098039216
31-12-2018,157,-0.137681159
31-03-2019,145,0.076433121
30-06-2019,146,-0.006896552
30-09-2019,138,0.054794521
31-12-2019,163,-0.18115942
31-03-2020,126,0.226993865
30-06-2020,96,0.238095238
30-09-2020,136,-0.416666667
31-12-2020,158,-0.161764706
31-03-2021,146,0.075949367
30-06-2021,147,-0.006849315
30-09-2021,139,0.054421769
31-12-2021,157,-0.129496403
31-03-2022,141,0.101910828
30-06-2022,140,0.007092199
30-09-2022,131,0.064285714
31-12-2022,154,-0.175572519
31-03-2023,149,0.032467532
30-06-2023,145,0.026845638
30-09-2023,134,0.075862069
31-12-2023,160,-0.194029851
31-03-2024,149,0.06875
30-06-2024,155,-0.040268456
30-09-2024,154,0.006451613
31-12-2024,173,-0.123376623
31-03-2025,146,0.156069364
30-06-2025,161,-0.102739726
30-09-2025,157,0.02484472
31-12-2025,183,-0.165605096
