Date,Sales,GrowthRate
30-06-2019,39,-0.114285714
30-09-2019,37,0.051282051
31-12-2019,40,-0.081081081
31-03-2020,30,0.25
30-06-2020,22,0.266666667
30-09-2020,28,-0.272727273
31-12-2020,27,0.035714286
31-03-2021,29,-0.074074074
30-06-2021,33,-0.137931034
30-09-2021,33,0
31-12-2021,36,-0.090909091
31-03-2022,35,0.027777778
30-06-2022,35,0
30-09-2022,42,-0.2
31-12-2022,41,0.023809524
31-03-2023,45,-0.097560976
30-06-2023,48,-0.066666667
30-09-2023,59,-0.229166667
31-12-2023,44,0.254237288
31-03-2024,48,-0.090909091
30-06-2024,54,-0.125
30-09-2024,55,-0.018518519
31-12-2024,54,0.018181818
31-03-2025,51,0.055555556
30-06-2025,56,-0.098039216
30-09-2025,57,-0.017857143
31-12-2025,56,0.01754386
