Date,Sales,GrowthRate
30-06-2013,120,0
30-09-2013,118,0.016666667
31-12-2013,138,-0.169491525
31-03-2014,124,0.101449275
30-06-2014,141,-0.137096774
30-09-2014,152,-0.078014184
31-12-2014,159,-0.046052632
31-03-2015,131,0.176100629
30-06-2015,135,-0.030534351
30-09-2015,130,0.037037037
31-12-2015,152,-0.169230769
31-03-2016,141,0.072368421
30-06-2016,147,-0.042553191
30-09-2016,140,0.047619048
31-12-2016,159,-0.135714286
31-03-2017,150,0.056603774
30-06-2017,152,-0.013333333
30-09-2017,153,-0.006578947
31-12-2017,173,-0.130718954
31-03-2018,170,0.01734104
30-06-2018,173,-0.017647059
30-09-2018,171,0.011560694
31-12-2018,188,-0.099415205
31-03-2019,188,0
30-06-2019,194,-0.031914894
30-09-2019,190,0.020618557
31-12-2019,221,-0.163157895
31-03-2020,172,0.221719457
30-06-2020,129,0.25
30-09-2020,186,-0.441860465
31-12-2020,223,-0.198924731
31-03-2021,198,0.112107623
30-06-2021,211,-0.065656566
30-09-2021,207,0.018957346
31-12-2021,223,-0.077294686
31-03-2022,220,0.013452915
30-06-2022,206,0.063636364
30-09-2022,209,-0.014563107
31-12-2022,235,-0.124401914
31-03-2023,228,0.029787234
30-06-2023,229,-0.004385965
30-09-2023,232,-0.013100437
31-12-2023,256,-0.103448276
31-03-2024,244,0.046875
30-06-2024,239,0.020491803
30-09-2024,232,0.029288703
31-12-2024,267,-0.150862069
31-03-2025,247,0.074906367
30-06-2025,262,-0.060728745
30-09-2025,255,0.026717557
31-12-2025,302,-0.184313725
