Date,Sales,GrowthRate
30-06-2013,86,0.011793182
30-09-2013,80,0.071739765
31-12-2013,100,-0.261996475
31-03-2014,95,0.05497872
30-06-2014,102,-0.070406836
30-09-2014,102,-0.00581109
31-12-2014,99,0.031879651
31-03-2015,86,0.130772305
30-06-2015,89,-0.036144366
30-09-2015,85,0.04694525
31-12-2015,71,0.163344792
31-03-2016,73,-0.032438978
30-06-2016,89,-0.217273457
30-09-2016,85,0.052336658
31-12-2016,76,0.101229896
31-03-2017,81,-0.065789474
30-06-2017,97,-0.194139753
30-09-2017,88,0.090207197
31-12-2017,96,-0.094030455
31-03-2018,95,0.013240034
30-06-2018,94,0.010526316
30-09-2018,97,-0.031914894
31-12-2018,128,-0.319587629
31-03-2019,94,0.265625
30-06-2019,97,-0.031914894
30-09-2019,97,0
31-12-2019,118,-0.216494845
31-03-2020,91,0.228813559
30-06-2020,63,0.307692308
30-09-2020,87,-0.380952381
31-12-2020,114,-0.310344828
31-03-2021,115,-0.00877193
30-06-2021,111,0.034782609
30-09-2021,107,0.036036036
31-12-2021,138,-0.289719626
31-03-2022,120,0.130434783
30-06-2022,127,-0.058333333
30-09-2022,110,0.133858268
31-12-2022,152,-0.381818182
31-03-2023,134,0.118421053
30-06-2023,137,-0.02238806
30-09-2023,128,0.065693431
31-12-2023,156,-0.21875
31-03-2024,142,0.08974359
30-06-2024,145,-0.021126761
30-09-2024,148,-0.020689655
31-12-2024,162,-0.094594595
31-03-2025,157,0.030864198
30-06-2025,157,0
30-09-2025,153,0.025477707
31-12-2025,207,-0.352941176
