Date,Sales,GrowthRate
30-06-2013,89,-0.006248587
30-09-2013,75,0.159562082
31-12-2013,102,-0.358548152
31-03-2014,91,0.10088682
30-06-2014,97,-0.065668881
30-09-2014,82,0.154952733
31-12-2014,103,-0.247394212
31-03-2015,87,0.154299484
30-06-2015,87,-0.000606991
30-09-2015,72,0.173899981
31-12-2015,82,-0.146510102
31-03-2016,80,0.032401281
30-06-2016,139,-0.747197674
30-09-2016,107,0.232589928
31-12-2016,86,0.196838474
31-03-2017,86,-0.003814026
30-06-2017,144,-0.674465116
30-09-2017,88,0.388905864
31-12-2017,56,0.363681818
31-03-2018,96,-0.714408172
30-06-2018,99,-0.03125
30-09-2018,90,0.090909091
31-12-2018,113,-0.255555556
31-03-2019,96,0.150442478
30-06-2019,105,-0.09375
30-09-2019,95,0.095238095
31-12-2019,127,-0.336842105
31-03-2020,103,0.188976378
30-06-2020,79,0.233009709
30-09-2020,98,-0.240506329
31-12-2020,112,-0.142857143
31-03-2021,114,-0.017857143
30-06-2021,116,-0.01754386
30-09-2021,110,0.051724138
31-12-2021,134,-0.218181818
31-03-2022,114,0.149253731
30-06-2022,112,0.01754386
30-09-2022,110,0.017857143
31-12-2022,133,-0.209090909
31-03-2023,125,0.060150376
30-06-2023,118,0.056
30-09-2023,125,-0.059322034
31-12-2023,150,-0.2
31-03-2024,135,0.1
30-06-2024,134,0.007407407
30-09-2024,135,-0.007462687
31-12-2024,163,-0.207407407
31-03-2025,143,0.122699387
30-06-2025,147,-0.027972028
30-09-2025,154,-0.047619048
31-12-2025,177,-0.149350649
