Date,Sales,GrowthRate
30-06-2013,30,0.301115049
30-09-2013,30,0.0117404
31-12-2013,39,-0.320626899
31-03-2014,39,-0.004242515
30-06-2014,32,0.188957748
30-09-2014,36,-0.116556708
31-12-2014,37,-0.05122341
31-03-2015,40,-0.062017974
30-06-2015,33,0.16569343
30-09-2015,32,0.02730733
31-12-2015,37,-0.163692062
31-03-2016,37,0.02156362
30-06-2016,57,-0.541104762
30-09-2016,82,-0.455221239
31-12-2016,82,-0.003058502
31-03-2017,105,-0.273167557
30-06-2017,56,0.465671429
30-09-2017,108,-0.92497928
31-12-2017,175,-0.619402778
31-03-2018,130,0.256699
30-06-2018,121,0.069230769
30-09-2018,99,0.181818182
31-12-2018,138,-0.393939394
31-03-2019,115,0.166666667
30-06-2019,112,0.026086957
30-09-2019,112,0
31-12-2019,138,-0.232142857
31-03-2020,133,0.036231884
30-06-2020,178,-0.338345865
30-09-2020,145,0.185393258
31-12-2020,158,-0.089655172
31-03-2021,149,0.056962025
30-06-2021,152,-0.020134228
30-09-2021,140,0.078947368
31-12-2021,159,-0.135714286
31-03-2022,139,0.125786164
30-06-2022,130,0.064748201
30-09-2022,140,-0.076923077
31-12-2022,200,-0.428571429
31-03-2023,166,0.17
30-06-2023,159,0.042168675
30-09-2023,138,0.132075472
31-12-2023,211,-0.528985507
31-03-2024,149,0.293838863
30-06-2024,145,0.026845638
30-09-2024,155,-0.068965517
31-12-2024,212,-0.367741935
31-03-2025,143,0.325471698
30-06-2025,150,-0.048951049
30-09-2025,158,-0.053333333
31-12-2025,243,-0.537974684
