Date,Sales,GrowthRate
30-06-2013,139,0.005562863
30-09-2013,134,0.037055909
31-12-2013,153,-0.137125207
31-03-2014,140,0.085312709
30-06-2014,136,0.027528342
30-09-2014,133,0.020248877
31-12-2014,134,-0.008610552
31-03-2015,121,0.097799907
30-06-2015,119,0.017433481
30-09-2015,114,0.044854499
31-12-2015,147,-0.292403526
31-03-2016,116,0.20934144
30-06-2016,122,-0.047313707
30-09-2016,119,0.021462051
31-12-2016,154,-0.295823529
31-03-2017,116,0.247744856
30-06-2017,116,-0.0032825
30-09-2017,119,-0.022505694
31-12-2017,132,-0.10604395
31-03-2018,126,0.042693078
30-06-2018,129,-0.023809524
30-09-2018,118,0.085271318
31-12-2018,125,-0.059322034
31-03-2019,123,0.016
30-06-2019,124,-0.008130081
30-09-2019,121,0.024193548
31-12-2019,132,-0.090909091
31-03-2020,115,0.128787879
30-06-2020,76,0.339130435
30-09-2020,111,-0.460526316
31-12-2020,127,-0.144144144
31-03-2021,123,0.031496063
30-06-2021,132,-0.073170732
30-09-2021,129,0.022727273
31-12-2021,136,-0.054263566
31-03-2022,125,0.080882353
30-06-2022,134,-0.072
30-09-2022,122,0.089552239
31-12-2022,136,-0.114754098
31-03-2023,139,-0.022058824
30-06-2023,144,-0.035971223
30-09-2023,131,0.090277778
31-12-2023,142,-0.083969466
31-03-2024,142,0
30-06-2024,167,-0.176056338
30-09-2024,164,0.017964072
31-12-2024,172,-0.048780488
31-03-2025,174,-0.011627907
30-06-2025,183,-0.051724138
30-09-2025,178,0.027322404
31-12-2025,193,-0.084269663
