Date,Sales,GrowthRate
30-06-2013,121,-0.042648031
30-09-2013,94,0.220588859
31-12-2013,112,-0.191418237
31-03-2014,110,0.021904189
30-06-2014,114,-0.039345027
30-09-2014,99,0.129767646
31-12-2014,104,-0.052381763
31-03-2015,101,0.03556181
30-06-2015,103,-0.026891002
30-09-2015,84,0.183497538
31-12-2015,76,0.101605164
31-03-2016,94,-0.239931754
30-06-2016,100,-0.062857143
30-09-2016,74,0.26
31-12-2016,83,-0.120768108
31-03-2017,105,-0.266023639
30-06-2017,100,0.046666667
30-09-2017,99,0.010989011
31-12-2017,122,-0.231313131
31-03-2018,118,0.031993437
30-06-2018,118,0
30-09-2018,104,0.118644068
31-12-2018,117,-0.125
31-03-2019,119,-0.017094017
30-06-2019,116,0.025210084
30-09-2019,108,0.068965517
31-12-2019,126,-0.166666667
31-03-2020,110,0.126984127
30-06-2020,62,0.436363636
30-09-2020,103,-0.661290323
31-12-2020,122,-0.184466019
31-03-2021,118,0.032786885
30-06-2021,125,-0.059322034
30-09-2021,118,0.056
31-12-2021,136,-0.152542373
31-03-2022,119,0.125
30-06-2022,132,-0.109243697
30-09-2022,116,0.121212121
31-12-2022,137,-0.181034483
31-03-2023,150,-0.094890511
30-06-2023,156,-0.04
30-09-2023,130,0.166666667
31-12-2023,161,-0.238461538
31-03-2024,159,0.01242236
30-06-2024,169,-0.062893082
30-09-2024,153,0.094674556
31-12-2024,178,-0.163398693
31-03-2025,175,0.016853933
30-06-2025,180,-0.028571429
30-09-2025,176,0.022222222
31-12-2025,201,-0.142045455
