Date,Sales,GrowthRate
30-06-2013,18,-0.5
30-09-2013,16,0.111111111
31-12-2013,14,0.149375
31-03-2014,12,0.110294138
30-06-2014,9,0.259222358
30-09-2014,16,-0.781493868
31-12-2014,12,0.268398623
31-03-2015,10,0.162081441
30-06-2015,8,0.165823941
30-09-2015,14,-0.675894891
31-12-2015,20,-0.475005951
31-03-2016,8,0.585848155
30-06-2016,22,-1.624952
30-09-2016,7,0.704007286
31-12-2016,22,-2.3936
31-03-2017,15,0.319986944
30-06-2017,26,-0.758264
30-09-2017,15,0.431257195
31-12-2017,5,0.691597333
31-03-2018,14,-2.026346508
30-06-2018,15,-0.071428571
30-09-2018,17,-0.133333333
31-12-2018,28,-0.647058824
31-03-2019,16,0.428571429
30-06-2019,17,-0.0625
30-09-2019,16,0.058823529
31-12-2019,32,-1
31-03-2020,13,0.59375
30-06-2020,11,0.153846154
30-09-2020,21,-0.909090909
31-12-2020,32,-0.523809524
31-03-2021,29,0.09375
30-06-2021,28,0.034482759
30-09-2021,26,0.071428571
31-12-2021,41,-0.576923077
31-03-2022,25,0.390243902
30-06-2022,28,-0.12
30-09-2022,26,0.071428571
31-12-2022,42,-0.615384615
31-03-2023,33,0.214285714
30-06-2023,34,-0.03030303
30-09-2023,43,-0.264705882
31-12-2023,53,-0.23255814
31-03-2024,44,0.169811321
30-06-2024,38,0.136363636
30-09-2024,40,-0.052631579
31-12-2024,70,-0.753818963
31-03-2025,51,0.27027027
30-06-2025,52,-0.015772733
30-09-2025,49,0.057692308
31-12-2025,67,-0.363417275
