Date,Sales,GrowthRate
30-06-2013,128,-0.027845655
30-09-2013,127,0.003990804
31-12-2013,151,-0.183790546
31-03-2014,130,0.135240856
30-06-2014,141,-0.081787936
30-09-2014,136,0.03288681
31-12-2014,150,-0.096470795
31-03-2015,126,0.158777647
30-06-2015,124,0.013499084
30-09-2015,119,0.038381771
31-12-2015,136,-0.138753075
31-03-2016,120,0.119659314
30-06-2016,121,-0.010434194
30-09-2016,141,-0.168595998
31-12-2016,133,0.061084271
31-03-2017,124,0.065540009
30-06-2017,120,0.029554032
30-09-2017,130,-0.080314754
31-12-2017,154,-0.182036154
31-03-2018,144,0.062894731
30-06-2018,145,-0.006944444
30-09-2018,134,0.075862069
31-12-2018,156,-0.164179104
31-03-2019,142,0.08974359
30-06-2019,142,0
30-09-2019,145,-0.021126761
31-12-2019,159,-0.096551724
31-03-2020,132,0.169811321
30-06-2020,122,0.075757576
30-09-2020,145,-0.18852459
31-12-2020,184,-0.268965517
31-03-2021,200,-0.086956522
30-06-2021,199,0.005
30-09-2021,192,0.035175879
31-12-2021,207,-0.078125
31-03-2022,198,0.043478261
30-06-2022,187,0.055555556
30-09-2022,178,0.048128342
31-12-2022,209,-0.174157303
31-03-2023,215,-0.028708134
30-06-2023,207,0.037209302
30-09-2023,202,0.024154589
31-12-2023,226,-0.118811881
31-03-2024,219,0.030973451
30-06-2024,222,-0.01369863
30-09-2024,228,-0.027027027
31-12-2024,252,-0.105263158
31-03-2025,232,0.079365079
30-06-2025,255,-0.099137931
30-09-2025,257,-0.007843137
31-12-2025,278,-0.081712062
