Date,Sales,GrowthRate
30-06-2013,201,0.020520239
30-09-2013,212,-0.055753904
31-12-2013,252,-0.18728582
31-03-2014,217,0.137453501
30-06-2014,234,-0.080294958
30-09-2014,243,-0.035868128
31-12-2014,291,-0.198682106
31-03-2015,234,0.194857201
30-06-2015,246,-0.049286492
30-09-2015,251,-0.021055905
31-12-2015,316,-0.258272745
31-03-2016,255,0.193673095
30-06-2016,268,-0.050905548
30-09-2016,279,-0.043582179
31-12-2016,345,-0.234612081
31-03-2017,292,0.153623188
30-06-2017,319,-0.092465753
30-09-2017,316,0.009404389
31-12-2017,363,-0.148734177
31-03-2018,349,0.038567493
30-06-2018,354,-0.014326648
30-09-2018,346,0.02259887
31-12-2018,383,-0.106936416
31-03-2019,376,0.018276762
30-06-2019,383,-0.018617021
30-09-2019,377,0.015665796
31-12-2019,441,-0.169761273
31-03-2020,364,0.174603175
30-06-2020,253,0.304945055
30-09-2020,380,-0.501976285
31-12-2020,411,-0.081578947
31-03-2021,354,0.138686131
30-06-2021,407,-0.149717514
30-09-2021,418,-0.027027027
31-12-2021,491,-0.174641148
31-03-2022,418,0.148676171
30-06-2022,473,-0.131578947
30-09-2022,480,-0.014799154
31-12-2022,543,-0.13125
31-03-2023,564,-0.038674033
30-06-2023,568,-0.007092199
30-09-2023,610,-0.073943662
31-12-2023,736,-0.206557377
31-03-2024,636,0.135869565
30-06-2024,623,0.020440252
30-09-2024,689,-0.105939005
31-12-2024,844,-0.224963716
31-03-2025,710,0.158767773
30-06-2025,742,-0.045070423
30-09-2025,743,-0.001347709
31-12-2025,938,-0.262449529
