Date,Sales,GrowthRate
30-06-2013,227,-0.015369986
30-09-2013,216,0.046572831
31-12-2013,248,-0.148857879
31-03-2014,252,-0.014217143
30-06-2014,243,0.036838754
30-09-2014,266,-0.095104665
31-12-2014,290,-0.092770432
31-03-2015,259,0.107245988
30-06-2015,267,-0.030554453
30-09-2015,287,-0.075211755
31-12-2015,326,-0.1339897
31-03-2016,286,0.122983959
30-06-2016,238,0.167
30-09-2016,273,-0.148445378
31-12-2016,345,-0.263406139
31-03-2017,308,0.108091234
30-06-2017,303,0.016233766
30-09-2017,316,-0.04290429
31-12-2017,377,-0.193037975
31-03-2018,316,0.161803714
30-06-2018,339,-0.07278481
30-09-2018,352,-0.038348083
31-12-2018,417,-0.184659091
31-03-2019,365,0.12470024
30-06-2019,399,-0.093150685
30-09-2019,357,0.105263158
31-12-2019,440,-0.232492997
31-03-2020,410,0.068181818
30-06-2020,249,0.392682927
30-09-2020,369,-0.481927711
31-12-2020,443,-0.200542005
31-03-2021,335,0.243792325
30-06-2021,401,-0.197014925
30-09-2021,415,-0.034912718
31-12-2021,486,-0.171084337
31-03-2022,414,0.148148148
30-06-2022,451,-0.089371981
30-09-2022,425,0.057649667
31-12-2022,520,-0.223529412
31-03-2023,450,0.134615385
30-06-2023,512,-0.137777778
30-09-2023,503,0.017578125
31-12-2023,586,-0.16500994
31-03-2024,532,0.092150171
30-06-2024,564,-0.060150376
30-09-2024,544,0.035460993
31-12-2024,627,-0.152573529
31-03-2025,587,0.063795853
30-06-2025,621,-0.057921635
30-09-2025,606,0.024154589
31-12-2025,748,-0.234323432
