Date,Sales,GrowthRate
30-06-2013,142,-0.020803939
30-09-2013,140,0.014820428
31-12-2013,149,-0.067295352
31-03-2014,141,0.05063803
30-06-2014,145,-0.026814561
30-09-2014,154,-0.063993938
31-12-2014,181,-0.169493461
31-03-2015,165,0.085857559
30-06-2015,164,0.007471199
30-09-2015,163,0.006687679
31-12-2015,189,-0.158040708
31-03-2016,169,0.102217576
30-06-2016,409,-1.413462162
30-09-2016,368,0.099681763
31-12-2016,429,-0.165176709
31-03-2017,370,0.136580564
30-06-2017,372,-0.005405405
30-09-2017,357,0.040322581
31-12-2017,426,-0.193277311
31-03-2018,381,0.105633803
30-06-2018,384,-0.007874016
30-09-2018,393,-0.0234375
31-12-2018,472,-0.201017812
31-03-2019,416,0.118644068
30-06-2019,430,-0.033653846
30-09-2019,442,-0.027906977
31-12-2019,499,-0.128959276
31-03-2020,454,0.090180361
30-06-2020,454,0
30-09-2020,455,-0.002202643
31-12-2020,547,-0.202197802
31-03-2021,473,0.135283364
30-06-2021,488,-0.031712474
30-09-2021,496,-0.016393443
31-12-2021,550,-0.108870968
31-03-2022,525,0.045454545
30-06-2022,536,-0.020952381
30-09-2022,625,-0.166044776
31-12-2022,736,-0.1776
31-03-2023,612,0.168478261
30-06-2023,682,-0.114379085
30-09-2023,660,0.032258065
31-12-2023,831,-0.259090909
31-03-2024,715,0.139590854
30-06-2024,763,-0.067132867
30-09-2024,783,-0.02621232
31-12-2024,930,-0.187739464
31-03-2025,802,0.137634409
30-06-2025,840,-0.047381546
30-09-2025,827,0.01547619
31-12-2025,1041,-0.258766626
